symbol,old_qualifies,new_qualifies,old_squeeze_pct,squeeze_pct,failed_low,ema_floor,candle_range_pct,tightening,squeeze_age,box_age_sessions,change
ABCAPITAL,False,True,3.016927607998154,3.016927607998154,True,403.8860049764917,1.301921884686919,False,2,6,add
APOLLOHOSP,False,True,1.733956644052742,1.733956644052742,True,8750.591160847103,2.1746575342465753,True,1,4,add
BEPL,False,True,4.047225201686191,4.047225201686191,True,126.17789885978266,2.8066855881425323,True,3,7,add
CDSL,False,True,3.552298553803742,3.552298553803742,True,1393.669285897536,3.830659410559053,False,3,5,add
ESABINDIA,False,True,4.279834517352867,4.279834517352867,True,6097.374541244622,1.5265922521339463,False,1,8,add
GAIL,False,True,1.8824160933925822,1.8824160933925822,True,174.0416112400918,2.556818181818182,False,1,3,add
GLENMARK,False,True,3.927164393885106,3.927164393885106,True,2437.9442763407715,2.11264733472002,False,4,4,add
GRANULES,False,True,4.078326069475611,4.078326069475611,False,846.3796011110815,3.649256312694567,True,2,19,add
HDBFS,False,True,3.9279090914840116,3.9279090914840116,True,684.1293593595424,1.7152032698343187,False,3,10,add
JMFINANCIL,False,True,2.3520975616420596,2.3520975616420596,True,130.35994975520785,2.95517347252072,True,1,6,add
KINGFA,False,True,4.014332196876313,4.014332196876313,True,5951.111403793669,3.607694212829192,True,2,15,add
KOVAI,False,True,2.124209576542868,2.124209576542868,True,6047.255711313299,2.051408798813643,True,3,6,add
KPRMILL,False,True,3.5047728042492987,3.5047728042492987,True,1155.9163265778977,3.256257036459678,False,3,3,add
KRSNAA,False,True,4.697120405846538,4.697120405846538,True,557.3237368563883,2.9341370445882378,False,2,14,add
MEESHO,False,True,2.4411914687705125,2.4411914687705125,True,207.4588063416595,2.610556348074184,True,1,8,add
NAZARA,False,True,3.7493947029464834,3.7493947029464834,True,365.174796497021,3.213610586011336,False,4,4,add
NH,False,True,2.9444274020822507,2.9444274020822507,True,1891.051047295361,2.7304111308714325,True,1,2,add
OIL,False,True,3.1045218334367743,3.1045218334367743,True,484.4773908328161,2.320328542094458,False,3,3,add
ORIENTHOT,False,True,4.899382240957183,4.899382240957183,True,139.0371031637206,1.5527280569333595,True,2,8,add
PARKHOSPS,False,True,3.027102968303843,3.027102968303843,True,283.5438534950542,3.7831241283124006,True,2,4,add
PCBL,False,True,4.721923226210551,4.721923226210551,True,318.0858593092961,2.976846747519291,False,1,11,add
