"Disclaimer - The Data provided in the adjusted 52 week high and adjusted 52 week low columns  are adjusted for corporate actions (bonus, splits & rights).For actual (unadjusted) 52 week high & low prices, kindly refer bhavcopy."
"Effective for 06-Aug-2026"
"SYMBOL","SERIES","Adjusted_52_Week_High","52_Week_High_Date","Adjusted_52_Week_Low","52_Week_Low_DT"
"1STCUS$","EQ","-","-","-","-"
"20MICRONS","EQ","    246.61","19-AUG-2025","    129.61","30-MAR-2026"
"21STCENMGM","EQ","     58.83","06-AUG-2025","     28.25","06-APR-2026"
"360ONE","EQ","   1236.20","16-JAN-2026","    906.05","07-APR-2026"
"3BBLACKBIO","EQ","   1441.50","10-JUN-2026","   1085.00","02-JUN-2026"
"3BFILMS$","ST","-","-","-","-"
"3CIT$","SM","-","-","-","-"
"3IINFOLTD","EQ","     25.75","05-AUG-2026","     12.68","16-MAR-2026"
"3MINDIA","EQ","  38030.00","10-FEB-2026","  28730.00","02-APR-2026"
"3PLAND","EQ","     52.90","18-AUG-2025","     28.51","30-MAR-2026"
"4THGEN$","BE","-","-","-","-"
"5PAISA","EQ","    400.00","15-JUL-2026","    245.50","30-MAR-2026"
"63MOONS","EQ","   1029.90","19-AUG-2025","    467.00","30-MAR-2026"
"7SEASL$","EQ","-","-","-","-"
"7TEC$","EQ","-","-","-","-"
"A1L$","EQ","-","-","-","-"
"A2ZINFRA","EQ","     22.64","04-SEP-2025","     12.00","28-JUL-2026"
"AAATECH","EQ","    136.00","07-OCT-2025","     76.11","26-SEP-2025"
"AADHARHFC","EQ","    563.00","06-JUL-2026","    430.15","02-MAR-2026"
"AAIL$","EQ","-","-","-","-"
"AAKAAR","SM","     98.80","18-AUG-2025","     46.00","27-MAR-2026"
"AAKASH","EQ","     13.40","06-MAR-2026","      7.21","30-JAN-2026"
"AANCHALIS$","BE","-","-","-","-"
"AAPLUSTRA$","SM","-","-","-","-"
"AARADHYA","SM","    182.00","13-OCT-2025","     67.15","02-JUL-2026"
"AARCON$","BE","-","-","-","-"
"AAREYDRUGS","BE","    100.00","06-NOV-2025","     50.31","30-MAR-2026"
"AARNAV","EQ","     37.40","17-JUL-2026","     21.00","30-MAR-2026"
"AARON","EQ","    258.00","25-AUG-2025","    106.80","30-MAR-2026"
"AARTECH","BE","     66.49","12-AUG-2025","     33.51","30-MAR-2026"
"AARTIDRUGS","EQ","    534.55","19-SEP-2025","    318.95","30-MAR-2026"
"AARTIIND","EQ","    523.10","04-MAY-2026","    338.05","21-JAN-2026"
"AARTIPHARM","EQ","    946.10","16-SEP-2025","    585.00","30-MAR-2026"
"AARTISURF","EQ","    563.65","05-AUG-2025","    316.00","30-MAR-2026"
"AARVI","EQ","    168.40","10-JUL-2026","     96.99","11-AUG-2025"
"AASHKA$","SM","-","-","-","-"
"AASTAFIN$","EQ","-","-","-","-"
"AASTHA","EQ","    140.01","22-JUL-2026","     74.40","29-JUL-2026"
"AATMAJ","SM","     25.50","22-DEC-2025","     16.70","22-JUL-2026"
"AAVAS","EQ","   1771.90","13-NOV-2025","   1060.40","23-MAR-2026"
"AAYUSH$","EQ","-","-","-","-"
"AAYUSHBUL$","SM","-","-","-","-"
"AB10BKINAV","EQ","-","-","-","-"
"ABAN","BE","     52.14","25-AUG-2025","     12.89","10-JUL-2026"
"ABANSENT","BE","     48.85","05-MAY-2026","     22.30","20-APR-2026"
"ABATEAS$","EQ","-","-","-","-"
"ABB","EQ","   7924.50","16-JUL-2026","   4637.50","21-JAN-2026"
"ABBOTINDIA","EQ","  34100.00","05-AUG-2025","  25150.00","24-APR-2026"
"ABCAPITAL","EQ","    430.70","03-AUG-2026","    267.00","11-AUG-2025"
"ABCINDQ$","EQ","-","-","-","-"
"ABCOTS","EQ","    504.00","24-SEP-2025","    196.81","31-JUL-2026"
"ABDL","EQ","    711.70","06-JUL-2026","    382.10","23-MAR-2026"
"ABFRL","EQ","     94.95","22-SEP-2025","     53.51","30-MAR-2026"
"ABGSEC","EQ","    116.23","15-JUL-2026","    108.00","13-AUG-2025"
"ABGSECINAV","EQ","-","-","-","-"
