,04-Aug-2026
The Nifty witnessed an intraday movement of about 275.95 points.The closing index was 0.64 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 124572.29
, Traded Quantity (in Lakhs), 44084.75
, Number of Trades, 35162071
, Total Market Capitalisation (Rs. Crores), 48997471.83

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     24774.30,     24703.90,     24703.90,     24427.95,     24614.90,-159.40
,NIFTY50 EQL Wgt,     33970.65,     33867.30,     33867.30,     33537.25,     33797.95,-172.70
,NIFTY100 EQL Wgt,     35684.80,     35623.85,     35640.00,     35357.75,     35522.80,-162.00
,NIFTY100 LowVol30,     20894.80,     20799.95,     20799.95,     20583.65,     20761.10,-133.70
,NIFTY Alpha 50,     54710.15,     54891.00,     55441.60,     54718.25,     55288.95,578.80
,NIFTY MIDCAP 150,     23418.95,     23432.05,     23437.00,     23277.30,     23347.75,-71.20
,NIFTY SMLCAP 50,      9757.55,      9769.00,      9798.50,      9733.30,      9751.80,-5.75
,NIFTY SMLCAP 250,     18166.65,     18208.50,     18277.55,     18161.75,     18194.30,27.65
,NIFTY MIDSML 400,     21503.50,     21528.30,     21558.90,     21427.55,     21471.60,-31.90
,NIFTY200 QUALTY30,     20960.20,     20907.55,     20908.75,     20720.30,     20853.35,-106.85
,Nifty FinSrv25 50,     29452.10,     29392.10,     29392.10,     29021.25,     29288.15,-163.95
,NIFTY AlphaLowVol,     27808.70,     27683.90,     27683.90,     27367.80,     27642.70,-166.00
,Nifty200Momentm30,     30836.80,     30856.15,     31072.40,     30764.90,     30978.05,141.25
,Nifty100ESGSecLdr,      4172.10,      4162.80,      4162.80,      4113.80,      4143.30,-28.80
,NIFTY100 ESG,      5173.65,      5164.15,      5164.15,      5113.70,      5147.15,-26.50
,NIFTY M150 QLTY50,     24709.05,     24763.10,     24834.15,     24686.20,     24727.90,18.85
,NIFTY INDIA MFG,     16521.40,     16501.40,     16534.40,     16434.00,     16496.05,-25.35
,Nifty200 Alpha 30,     26460.80,     26498.50,     26625.85,     26385.15,     26533.70,72.90
,NiftyM150Momntm50,     63415.85,     63508.40,     63714.25,     63227.10,     63701.90,286.05
,Nifty50 USD,      9003.90,      9003.90,      9106.00,      8875.75,      8942.35,-61.55
,Nifty IT,     31715.25,     31616.10,     31676.65,     31245.05,     31454.15,-261.10
,Nifty Next 50,     74608.70,     74551.50,     74667.20,     74037.15,     74210.55,-398.15
,Nifty Bank,     58247.95,     58068.95,     58068.95,     57352.65,     57907.20,-340.75
,NIFTY MIDCAP 100,     63679.30,     63739.90,     63740.85,     63278.95,     63491.60,-187.70
,Nifty 500,     23802.85,     23771.45,     23771.45,     23573.60,     23690.15,-112.70
,Nifty 100,     25880.45,     25816.80,     25816.80,     25553.40,     25719.15,-161.30
,Nifty Midcap 50,     18301.85,     18306.55,     18306.55,     18127.90,     18215.85,-86.00
,Nifty Realty,       913.05,       906.50,       906.55,       890.75,       891.20,-21.85
,Nifty Infra,      9507.80,      9503.90,      9503.90,      9374.45,      9419.55,-88.25
,Nifty Energy,     38937.00,     38992.65,     39119.00,     38710.85,     38816.65,-120.35
,Nifty FMCG,     49965.60,     49767.20,     49771.90,     48988.40,     49527.10,-438.50
,Nifty MNC,     33516.15,     33481.45,     33658.65,     33237.25,     33460.90,-55.25
,Nifty Pharma,     26662.80,     26577.05,     26601.95,     26424.50,     26597.50,-65.30
,Nifty PSE,     10005.40,     10010.10,     10010.10,      9896.05,      9937.90,-67.50
,Nifty PSU Bank,      8486.70,      8499.80,      8524.50,      8429.90,      8479.90,-6.80
,Nifty Serv Sector,     31774.35,     31740.00,     31740.00,     31336.00,     31608.50,-165.85
,Nifty Auto,     29168.95,     29082.45,     29107.20,     28893.15,     29041.30,-127.65
,Nifty Metal,     12914.55,     12914.20,     13041.15,     12865.20,     13032.30,117.75
,Nifty Media,      1568.65,      1567.40,      1604.10,      1559.70,      1600.50,31.85
,NIFTY SMLCAP 100,     19589.35,     19668.25,     19757.75,     19603.25,     19635.25,45.90
,Nifty 200,     14315.00,     14289.55,     14289.55,     14154.05,     14235.20,-79.80
,Nifty Div Opps 50,      6055.55,      6044.05,      6044.05,      5990.70,      6025.15,-30.40
,Nifty Commodities,     10003.35,      9975.40,      9983.50,      9891.35,      9928.75,-74.60
,Nifty Consumption,     12258.70,     12220.90,     12220.90,     12116.60,     12209.30,-49.40
,Nifty Fin Service,     26984.45,     26941.05,     26941.05,     26594.30,     26844.70,-139.75
,Nifty50 Div Point,       182.42,       182.42,       182.42,       182.42,       182.42,0.00
,Nifty100 Liq 15,      7702.80,      7706.10,      7706.10,      7615.80,      7676.05,-26.75
,Nifty CPSE,      6573.25,      6587.05,      6587.05,      6500.45,      6534.35,-38.90
,Nifty GrowSect 15,     11874.00,     11797.80,     11803.10,     11702.50,     11797.90,-76.10
,Nifty50 PR 2x Lev,     12632.05,     12558.55,     12558.55,     12277.40,     12467.75,-164.30
,Nifty50 PR 1x Inv,       214.05,       214.70,       217.05,       214.70,       215.45,1.40
,Nifty50 TR 2x Lev,     19236.30,     19124.35,     19124.35,     18696.25,     18986.15,-250.15
,Nifty50 TR 1x Inv,       173.75,       174.25,       176.20,       174.25,       174.90,1.15
,Nifty50 Value 20,     12202.00,     12170.50,     12170.50,     12018.25,     12110.80,-91.20
,Nifty Mid Liq 15,     17015.50,     17054.10,     17075.85,     16933.90,     17022.65,7.15
,Nifty Pvt Bank,     28045.15,     27918.70,     27918.70,     27548.05,     27860.45,-184.70
,NIFTY100 Qualty30,      5792.90,      5770.85,      5770.85,      5717.35,      5752.45,-40.45
,Nifty GS 8 13Yr,      3047.22,      3047.78,      3051.14,      3047.39,      3050.82,3.60
,Nifty GS 10Yr,      2668.52,      2669.02,      2673.14,      2668.57,      2671.05,2.53
,Nifty GS 10Yr Cln,       874.84,       874.84,       876.21,       874.69,       875.52,0.68
,Nifty GS 4 8Yr,      3336.28,      3336.88,      3338.15,      3336.62,      3337.82,1.54
,Nifty GS 11 15Yr,      3374.55,      3375.19,      3380.34,      3374.31,      3379.53,4.98
,Nifty GS 15YrPlus,      3546.89,      3547.62,      3551.27,      3546.49,      3546.49,-0.40
,Nifty GS Compsite,      3136.72,      3137.31,      3140.76,      3136.99,      3139.49,2.77
,NIFTY HEALTHCARE,     16783.35,     16736.80,     16748.65,     16631.25,     16746.70,-36.65
,NIFTY CONSR DURBL,     40625.05,     40508.05,     40594.50,     40067.25,     40307.35,-317.70
,NIFTY OIL AND GAS,     11357.40,     11342.60,     11342.80,     11196.75,     11226.30,-131.10
,NIFTY500 MULTICAP,     16814.15,     16805.35,     16805.95,     16689.65,     16755.15,-59.00
,NIFTY LARGEMID250,     17028.50,     17012.30,     17012.30,     16873.65,     16949.55,-78.95
,NIFTY MID SELECT,     14898.15,     14906.40,     14908.85,     14790.00,     14871.50,-26.65
,NIFTY TOTAL MKT,     13422.50,     13407.90,     13407.90,     13301.75,     13364.20,-58.30
,NIFTY MICROCAP250,     25515.50,     25618.10,     25693.15,     25565.80,     25625.90,110.40
,NIFTY IND DIGITAL,      8737.45,      8744.35,      8744.35,      8640.25,      8691.60,-45.85
,Nifty Tata 25 Cap,     14994.30,     14937.65,     14938.50,     14817.05,     14924.90,-69.40
,Nifty MidSml Hlth,     51810.55,     51779.95,     51997.75,     51628.05,     51841.35,30.80
,Nifty Multi Mfg,     16923.90,     16908.70,     16928.70,     16843.15,     16897.05,-26.85
,Nifty Multi Infra,     14813.55,     14824.65,     14824.65,     14655.25,     14713.40,-100.15
,BHARATBOND-APR30,      1609.53,      1609.86,      1610.05,      1609.78,      1610.05,0.52
