,06-Jul-2026
The Nifty witnessed an intraday movement of about 171.55 points.The closing index was 0.66 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 112696.35
, Traded Quantity (in Lakhs), 46558.65
, Number of Trades, 35720128
, Total Market Capitalisation (Rs. Crores), 48195903.38

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     24270.85,     24306.85,     24458.65,     24287.10,     24430.35,159.50
,NIFTY50 EQL Wgt,     33015.00,     33043.00,     33117.60,     32970.95,     33094.90,79.90
,NIFTY100 EQL Wgt,     34651.50,     34704.90,     34830.00,     34646.25,     34797.35,145.85
,NIFTY100 LowVol30,     20142.55,     20132.55,     20206.80,     20110.10,     20191.60,49.05
,NIFTY Alpha 50,     53537.65,     53672.80,     53951.85,     53661.35,     53904.40,366.75
,NIFTY MIDCAP 150,     22884.35,     22940.70,     22983.15,     22877.15,     22973.35,89.00
,NIFTY SMLCAP 50,      9470.40,      9475.65,      9589.00,      9461.20,      9578.15,107.75
,NIFTY SMLCAP 250,     17996.25,     18024.45,     18090.10,     17977.60,     18078.60,82.35
,NIFTY MIDSML 400,     21111.00,     21156.45,     21204.65,     21101.30,     21198.10,87.10
,NIFTY200 QUALTY30,     19970.90,     20003.20,     20100.20,     19957.90,     20077.80,106.90
,Nifty FinSrv25 50,     29219.75,     29251.95,     29477.00,     29246.00,     29422.60,202.85
,NIFTY AlphaLowVol,     26743.20,     26754.90,     26960.15,     26740.30,     26946.90,203.70
,Nifty200Momentm30,     30507.85,     30596.10,     30787.85,     30563.30,     30725.95,218.10
,Nifty100ESGSecLdr,      4075.05,      4085.15,      4115.90,      4083.50,      4111.00,35.95
,NIFTY100 ESG,      4951.00,      4962.80,      4981.80,      4956.90,      4977.80,26.80
,NIFTY M150 QLTY50,     23967.30,     24029.55,     24120.20,     23951.50,     24106.75,139.45
,NIFTY INDIA MFG,     15966.60,     16006.40,     16133.95,     15963.05,     16127.20,160.60
,Nifty200 Alpha 30,     26102.70,     26175.20,     26378.65,     26164.10,     26315.70,213.00
,NiftyM150Momntm50,     62276.80,     62397.50,     62730.55,     62376.80,     62553.55,276.75
,Nifty50 USD,      8831.35,      8831.30,      8980.05,      8831.30,      8874.10,42.75
,Nifty IT,     27439.40,     27489.85,     27502.60,     27127.45,     27276.45,-162.95
,Nifty Next 50,     72268.95,     72422.85,     72858.55,     72325.20,     72685.60,416.65
,Nifty Bank,     57938.50,     57983.90,     58477.30,     57938.65,     58291.50,353.00
,NIFTY MIDCAP 100,     62190.30,     62341.15,     62500.90,     62180.50,     62471.50,281.20
,Nifty 500,     23301.15,     23342.50,     23447.30,     23319.65,     23433.95,132.80
,Nifty 100,     25301.90,     25342.35,     25496.05,     25320.65,     25464.45,162.55
,Nifty Midcap 50,     17783.25,     17819.95,     17871.25,     17765.15,     17863.55,80.30
,Nifty Realty,       890.80,       898.45,       909.90,       891.05,       906.95,16.15
,Nifty Infra,      9473.50,      9481.85,      9550.10,      9473.95,      9520.15,46.65
,Nifty Energy,     39178.60,     39255.30,     39600.35,     39167.50,     39481.45,302.85
,Nifty FMCG,     50096.40,     50121.60,     50302.15,     49969.80,     50196.35,99.95
,Nifty MNC,     32866.35,     32910.85,     33207.95,     32873.00,     33181.10,314.75
,Nifty Pharma,     25745.15,     25805.85,     25902.15,     25695.85,     25866.25,121.10
,Nifty PSE,     10011.90,     10022.10,     10074.85,      9994.95,     10029.10,17.20
,Nifty PSU Bank,      8407.60,      8409.65,      8437.60,      8327.70,      8333.95,-73.65
,Nifty Serv Sector,     31075.90,     31129.05,     31302.70,     31105.80,     31248.00,172.10
,Nifty Auto,     26988.10,     27047.50,     27388.50,     26936.15,     27353.95,365.85
,Nifty Metal,     12598.45,     12648.20,     12739.80,     12595.35,     12722.45,124.00
,Nifty Media,      1512.30,      1514.85,      1516.75,      1489.20,      1497.95,-14.35
,NIFTY SMLCAP 100,     19175.10,     19186.25,     19335.90,     19136.40,     19319.10,144.00
,Nifty 200,     13992.05,     14016.75,     14089.60,     14003.90,     14076.65,84.60
,Nifty Div Opps 50,      5805.80,      5813.20,      5813.95,      5785.55,      5798.55,-7.25
,Nifty Commodities,      9889.55,      9911.10,      9989.60,      9882.45,      9948.60,59.05
,Nifty Consumption,     11795.70,     11810.80,     11886.25,     11788.40,     11873.20,77.50
,Nifty Fin Service,     26875.05,     26910.30,     27070.00,     26878.75,     26993.85,118.80
,Nifty50 Div Point,       126.28,       126.28,       126.28,       126.28,       126.28,0.00
,Nifty100 Liq 15,      7565.45,      7573.60,      7592.50,      7550.85,      7571.50,6.05
,Nifty CPSE,      6728.80,      6742.90,      6771.15,      6719.05,      6742.60,13.80
,Nifty GrowSect 15,     10883.05,     10893.35,     10943.75,     10848.65,     10932.15,49.10
,Nifty50 PR 2x Lev,     12193.30,     12224.50,     12376.65,     12207.60,     12348.60,155.30
,Nifty50 PR 1x Inv,       217.85,       217.60,       217.75,       216.25,       216.50,-1.35
,Nifty50 TR 2x Lev,     18483.05,     18530.35,     18760.95,     18504.75,     18718.45,235.40
,Nifty50 TR 1x Inv,       177.25,       177.05,       177.15,       175.95,       176.15,-1.10
,Nifty50 Value 20,     12016.95,     12037.00,     12126.25,     12023.55,     12099.55,82.60
,Nifty Mid Liq 15,     16523.10,     16541.20,     16620.30,     16457.05,     16606.75,83.65
,Nifty Pvt Bank,     28215.45,     28207.40,     28428.90,     28171.80,     28347.25,131.80
,NIFTY100 Qualty30,      5533.25,      5540.90,      5554.05,      5528.35,      5549.05,15.80
,Nifty GS 8 13Yr,      3048.78,      3049.34,      3057.23,      3049.34,      3055.99,7.21
,Nifty GS 10Yr,      2677.46,      2677.96,      2685.08,      2677.95,      2683.18,5.72
,Nifty GS 10Yr Cln,       882.51,       882.51,       884.88,       882.51,       884.25,1.74
,Nifty GS 4 8Yr,      3325.39,      3325.99,      3330.26,      3325.98,      3329.91,4.52
,Nifty GS 11 15Yr,      3374.09,      3374.72,      3380.99,      3374.72,      3380.65,6.56
,Nifty GS 15YrPlus,      3595.00,      3595.72,      3602.16,      3593.66,      3595.09,0.09
,Nifty GS Compsite,      3143.76,      3144.34,      3150.95,      3144.34,      3149.13,5.37
,NIFTY HEALTHCARE,     16441.45,     16473.60,     16544.75,     16417.15,     16481.35,39.90
,NIFTY CONSR DURBL,     36831.80,     36839.15,     37408.85,     36762.55,     37376.45,544.65
,NIFTY OIL AND GAS,     11136.20,     11149.90,     11287.30,     11105.30,     11261.10,124.90
,NIFTY500 MULTICAP,     16489.80,     16519.60,     16584.95,     16502.00,     16577.70,87.90
,NIFTY LARGEMID250,     16643.80,     16677.60,     16739.10,     16660.50,     16729.75,85.95
,NIFTY MID SELECT,     14545.90,     14563.20,     14620.55,     14521.75,     14612.20,66.30
,NIFTY TOTAL MKT,     13147.35,     13170.90,     13227.50,     13158.40,     13220.20,72.85
,NIFTY MICROCAP250,     25317.60,     25371.90,     25466.40,     25290.85,     25369.85,52.25
,NIFTY IND DIGITAL,      7897.10,      7912.45,      7914.80,      7851.30,      7878.20,-18.90
,Nifty Tata 25 Cap,     14169.20,     14166.75,     14206.30,     14108.85,     14167.50,-1.70
,Nifty MidSml Hlth,     50900.65,     51065.25,     51205.05,     50761.95,     50961.50,60.85
,Nifty Multi Mfg,     16352.65,     16387.90,     16515.95,     16348.85,     16508.95,156.30
,Nifty Multi Infra,     14742.05,     14761.85,     14833.40,     14753.20,     14813.40,71.35
,BHARATBOND-APR30,      1609.36,      1609.68,      1609.89,      1609.66,      1609.89,0.53
,BHARATBOND-APR31,      1465.09,      1465.37,      1465.37,      1465.36,      1465.36,0.27
,BHARATBOND-APR32,      1331.72,      1331.98,      1331.98,      1331.98,      1331.98,0.26
,BHARATBOND-APR33,      1291.88,      1292.13,      1292.13,      1292.13,      1292.13,0.25
,Nifty Ind Defence,      9574.05,      9600.95,      9737.15,      9582.90,      9641.30,67.25
,Nifty Ind Tourism,      8127.85,      8135.50,      8199.00,      8112.20,      8192.90,65.05
,Nifty Capital Mkt,      5543.95,      5551.90,      5553.60,      5487.40,      5493.45,-50.50
,Nifty500Momentm50,     52952.40,     53101.15,     53502.65,     53087.60,     53405.95,453.55
,NiftyMS400 MQ 100,     50405.80,     50511.20,     50718.60,     50455.50,     50693.00,287.20
,NiftySml250MQ 100,     47097.80,     47125.85,     47544.75,     47096.45,     47501.05,403.25
,Nifty Top 10 EW,      8623.40,      8625.80,      8649.70,      8610.90,      8627.65,4.25
,Nifty AQL 30,     22941.60,     22980.10,     23113.80,     22943.90,     23097.50,155.90
,Nifty AQLV 30,     20233.30,     20257.60,     20361.65,     20222.00,     20345.70,112.40
,Nifty EV,      3126.05,      3133.05,      3150.60,      3119.85,      3145.60,19.55
,Nifty HighBeta 50,      4392.50,      4402.85,      4419.50,      4385.30,      4410.00,17.50
,Nifty New Consump,     11661.65,     11687.00,     11758.15,     11658.60,     11753.35,91.70
,Nifty Corp MAATR,     38800.20,     38888.70,     39177.20,     38748.25,     39044.65,244.45
,Nifty Low Vol 50,     24642.70,     24660.00,     24759.75,     24641.70,     24746.60,103.90
,Nifty Mobility,     22584.70,     22617.00,     22786.95,     22532.25,     22756.70,172.00
,Nifty Qlty LV 30,     16514.80,     16529.40,     16623.55,     16506.55,     16612.35,97.55
,Nifty Sml250 Q50,     25155.65,     25176.85,     25214.85,     25057.35,     25182.40,26.75
,Nifty Top 15 EW,      9834.30,      9846.75,      9876.85,      9825.15,      9852.80,18.50
,Nifty100 Alpha 30,     18082.70,     18138.80,     18312.00,     18112.65,     18244.60,161.90
,Nifty100 Enh ESG,      4984.40,      4996.20,      5015.20,      4990.40,      5011.25,26.85
,Nifty200 Value 30,     15162.40,     15172.40,     15244.20,     15131.15,     15187.65,25.25
,Nifty500 EW,     14898.15,     14928.45,     14944.00,     14878.60,     14938.45,40.30
,Nifty Multi MQ 50,     41277.30,     41362.60,     41538.60,     41304.65,     41503.55,226.25
,Nifty500 Value 50,     16176.70,     16190.70,     16250.35,     16146.10,     16203.25,26.55
,Nifty Top 20 EW,      8735.25,      8747.60,      8765.70,      8728.10,      8752.50,17.25
,Nifty CoreHousing,     15748.35,     15781.55,     15901.95,     15708.25,     15893.55,145.20
,Nifty FinSerExBnk,     32244.40,     32288.60,     32313.15,     32104.35,     32188.45,-55.95
,Nifty Housing,     12086.70,     12105.95,     12204.95,     12094.55,     12173.60,86.90
,Nifty IPO,      2305.10,      2308.75,      2312.75,      2295.20,      2301.30,-3.80
,Nifty MS Fin Serv,     22372.60,     22377.60,     22461.35,     22249.25,     22425.70,53.10
,Nifty MS Ind Cons,     18381.85,     18451.30,     18616.70,     18397.50,     18605.55,223.70
,Nifty MS IT Telcm,      9295.75,      9309.25,      9350.55,      9273.95,      9298.75,3.00
,Nifty NonCyc Cons,     15390.65,     15406.75,     15473.20,     15380.75,     15457.50,66.85
,Nifty Rural,     15456.55,     15484.65,     15573.70,     15454.35,     15541.50,84.95
,Nifty Shariah 25,      7794.20,      7805.75,      7842.35,      7788.80,      7836.65,42.45
,Nifty Trans Logis,     25161.25,     25214.95,     25396.85,     25106.05,     25376.80,215.55
,Nifty50 Shariah,      4229.95,      4234.70,      4237.50,      4215.55,      4233.15,3.20
,Nifty500 LMS Eql,     18409.35,     18443.85,     18507.10,     18419.65,     18500.75,91.40
,Nifty500 Shariah,      6879.40,      6893.70,      6914.80,      6878.75,      6911.25,31.85
,Nifty500 Qlty50,     19616.40,     19667.70,     19708.60,     19607.15,     19694.35,77.95
,Nifty500 LowVol50,     22144.25,     22163.45,     22241.60,     22128.45,     22228.20,83.95
,Nifty500 MQVLv50,     31097.20,     31146.20,     31228.10,     31077.50,     31169.55,72.35
,Nifty500 Flexicap,      9734.05,      9750.15,      9809.05,      9721.70,      9797.45,63.40
,Nifty TMMQ 50,     43385.85,     43515.00,     43811.65,     43478.30,     43748.60,362.75
,Nifty FPI 150,      1559.75,      1562.50,      1570.30,      1560.80,      1569.05,9.30
,Nifty SME Emerge,     14144.70,     14170.80,     14198.45,     14082.25,     14101.50,-43.20
,Nifty Internet,      1298.80,      1301.05,      1302.60,      1290.00,      1297.35,-1.45
,Nifty Chemicals,     30030.85,     30075.75,     30304.00,     30049.95,     30222.70,191.85
,Nifty Waves,      2012.55,      2012.30,      2013.10,      1981.90,      1985.85,-26.70
,Nifty InfraLog,     12345.40,     12371.25,     12442.50,     12356.10,     12415.05,69.65
,Nifty500 Health,     21287.05,     21331.55,     21405.20,     21229.05,     21309.65,22.60
,Nifty RailwaysPSU,      2901.30,      2903.20,      2903.45,      2885.75,      2890.45,-10.85
,NiftyConglomerate,     14878.35,     14915.95,     14981.10,     14865.90,     14943.60,65.25
,Nifty MidSmall 50 50,     20591.00,     20632.45,     20686.20,     20579.45,     20678.25,87.25
,Nifty Cement,     15370.60,     15404.05,     15415.25,     15260.00,     15338.90,-31.70
,Nifty Smallcap 500,     20428.30,     20463.70,     20518.75,     20419.25,     20507.35,79.05
,Nifty REITs Realty,      1925.50,      1937.80,      1947.65,      1929.20,      1946.30,20.80
,India VIX,11.7975,11.7975,12.3575,11.7025,11.8175,0.0200

,ADVANCES,1686
,DECLINES,1867
,UNCHANGED,111

,Total securities that have hit their price bands today,254

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR,VALUE(Rs Crs)
,HDFCBANK,EQ,       801.05,       829.85,3.60,5210.60
,ICICIBANK,EQ,      1411.40,      1426.90,1.10,1754.86
,DIXON,EQ,     12456.00,     13304.00,6.81,1674.37
,BSE,EQ,      3816.60,      3802.70,-0.36,1415.45
,APOLLO,EQ,       450.05,       423.85,-5.82,1387.81
,CUPID,EQ,       198.84,       213.09,7.17,1367.82
,KOTAKBANK,EQ,       396.75,       381.30,-3.89,1309.43
,ADANIPOWER,EQ,       221.79,       219.85,-0.87,1175.33
,SHAKTIPUMP,EQ,       574.10,       599.55,4.43,1088.91
,WELCORP,EQ,      1439.30,      1543.60,7.25,1037.73
,MCX,EQ,      2814.00,      2723.10,-3.23,1031.43
,LIQUIDBEES,EQ,      1000.00,       999.99,-0.00,1013.20
,RELIANCE,EQ,      1304.00,      1321.30,1.33,1002.17
,HSCL,EQ,       680.65,       684.15,0.51,958.20
,POWERINDIA,EQ,     31040.00,     32360.00,4.25,938.06
,SBIN,EQ,      1040.00,      1037.70,-0.22,913.26
,M&M,EQ,      3136.90,      3201.20,2.05,840.45
,DIGITIDE,EQ,       102.22,       120.55,17.93,830.11
,PARAS,EQ,      1294.00,      1358.40,4.98,795.57
,ADANIENSOL,EQ,      1568.80,      1622.80,3.44,794.26
,ITC,EQ,       289.95,       288.25,-0.59,782.57
,GVT&D,EQ,      4401.50,      4554.50,3.48,755.99
,CGPOWER,EQ,       892.55,       925.05,3.64,753.59
,BEL,EQ,       418.05,       425.55,1.79,703.31
,AXISBANK,EQ,      1342.10,      1339.60,-0.19,696.31

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HDFCBANK,EQ,       829.85,       801.05,3.60
,HINDALCO,EQ,       980.40,       953.20,2.85
,BAJAJ-AUTO,EQ,     10036.50,      9785.50,2.57
,ONGC,EQ,       243.90,       237.84,2.55
,M&M,EQ,      3201.20,      3136.90,2.05

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,KOTAKBANK,EQ,       381.30,       396.75,-3.89
