,08-Jul-2026
The Nifty witnessed an intraday movement of about 494.8 points.The closing index was 2.12 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 138389.65
, Traded Quantity (in Lakhs), 56741.56
, Number of Trades, 44168652
, Total Market Capitalisation (Rs. Crores), 47121582.51

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     24398.70,     24259.55,     24300.00,     23805.20,     23882.05,-516.65
,NIFTY50 EQL Wgt,     33045.50,     32864.05,     32929.05,     32292.80,     32395.55,-649.95
,NIFTY100 EQL Wgt,     34668.95,     34460.45,     34592.50,     33865.20,     33997.70,-671.25
,NIFTY100 LowVol30,     20236.45,     20140.25,     20201.80,     19809.30,     19864.70,-371.75
,NIFTY Alpha 50,     53366.95,     53046.15,     53718.75,     52615.10,     52893.50,-473.45
,NIFTY MIDCAP 150,     22912.30,     22798.75,     22894.05,     22431.35,     22537.85,-374.45
,NIFTY SMLCAP 50,      9531.70,      9488.00,      9523.15,      9266.10,      9306.85,-224.85
,NIFTY SMLCAP 250,     17953.10,     17866.15,     17954.00,     17526.30,     17597.90,-355.20
,NIFTY MIDSML 400,     21110.45,     21006.65,     21098.40,     20647.75,     20740.45,-370.00
,NIFTY200 QUALTY30,     20128.75,     20036.80,     20095.90,     19700.50,     19776.05,-352.70
,Nifty FinSrv25 50,     29404.75,     29233.40,     29336.20,     28584.20,     28678.35,-726.40
,NIFTY AlphaLowVol,     26971.60,     26813.75,     26954.30,     26469.95,     26568.75,-402.85
,Nifty200Momentm30,     30285.10,     30086.35,     30507.40,     29913.35,     30099.25,-185.85
,Nifty100ESGSecLdr,      4104.40,      4081.45,      4089.55,      4004.25,      4018.00,-86.40
,NIFTY100 ESG,      4984.45,      4957.90,      4971.60,      4866.35,      4884.20,-100.25
,NIFTY M150 QLTY50,     24074.85,     23992.25,     24055.00,     23511.20,     23617.30,-457.55
,NIFTY INDIA MFG,     16010.75,     15918.25,     15974.65,     15666.60,     15740.10,-270.65
,Nifty200 Alpha 30,     25974.35,     25792.95,     26192.70,     25611.00,     25748.05,-226.30
,NiftyM150Momntm50,     61784.00,     61433.80,     62042.15,     60863.40,     61207.70,-576.30
,Nifty50 USD,      8902.15,      8902.15,      9107.10,      8621.90,      8658.10,-244.05
,Nifty IT,     27939.15,     27915.20,     28067.85,     27468.85,     27555.20,-383.95
,Nifty Next 50,     72248.45,     71794.25,     72198.75,     70597.95,     70898.75,-1349.70
,Nifty Bank,     58200.70,     57918.25,     58075.60,     56549.40,     56742.60,-1458.10
,NIFTY MIDCAP 100,     62285.30,     61978.10,     62279.50,     61004.90,     61322.75,-962.55
,Nifty 500,     23368.85,     23239.65,     23307.00,     22822.80,     22908.05,-460.80
,Nifty 100,     25409.65,     25262.05,     25322.00,     24798.85,     24883.05,-526.60
,Nifty Midcap 50,     17864.05,     17775.75,     17861.50,     17506.15,     17604.45,-259.60
,Nifty Realty,       892.60,       885.35,       905.60,       871.00,       875.95,-16.65
,Nifty Infra,      9454.00,      9381.35,      9406.30,      9218.05,      9249.95,-204.05
,Nifty Energy,     39188.45,     39012.65,     39100.80,     38554.35,     38695.65,-492.80
,Nifty FMCG,     50225.85,     49955.25,     50035.65,     48828.40,     48977.40,-1248.45
,Nifty MNC,     32994.35,     32803.65,     32906.50,     32140.95,     32288.05,-706.30
,Nifty Pharma,     25677.70,     25669.70,     25989.15,     25308.95,     25429.80,-247.90
,Nifty PSE,      9957.90,      9895.45,      9903.10,      9776.10,      9804.25,-153.65
,Nifty PSU Bank,      8298.30,      8238.00,      8269.50,      8034.20,      8072.30,-226.00
,Nifty Serv Sector,     31338.15,     31180.35,     31267.45,     30576.75,     30679.15,-659.00
