,09-Jul-2026
The Nifty witnessed an intraday movement of about 209.0 points.The closing index was 0.34 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 124498.75
, Traded Quantity (in Lakhs), 52705.58
, Number of Trades, 38450400
, Total Market Capitalisation (Rs. Crores), 47557244.66

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     23882.05,     23928.95,     24134.70,     23925.70,     23962.80,80.75
,NIFTY50 EQL Wgt,     32395.55,     32452.85,     32675.20,     32442.75,     32488.20,92.65
,NIFTY100 EQL Wgt,     33997.70,     34039.35,     34307.40,     34039.20,     34200.90,203.20
,NIFTY100 LowVol30,     19864.70,     19883.80,     20054.20,     19875.40,     19941.70,77.00
,NIFTY Alpha 50,     52893.50,     53063.90,     53636.70,     53057.75,     53498.80,605.30
,NIFTY MIDCAP 150,     22537.85,     22606.95,     22901.90,     22604.25,     22855.75,317.90
,NIFTY SMLCAP 50,      9306.85,      9334.85,      9495.15,      9323.70,      9477.95,171.10
,NIFTY SMLCAP 250,     17597.90,     17652.25,     17914.95,     17644.85,     17875.70,277.80
,NIFTY MIDSML 400,     20740.45,     20804.20,     21085.70,     20802.40,     21044.95,304.50
,NIFTY200 QUALTY30,     19776.05,     19807.60,     19929.80,     19764.40,     19840.00,63.95
,Nifty FinSrv25 50,     28678.35,     28731.40,     28986.05,     28722.60,     28872.90,194.55
,NIFTY AlphaLowVol,     26568.75,     26616.20,     26890.90,     26616.20,     26748.75,180.00
,Nifty200Momentm30,     30099.25,     30187.85,     30440.65,     30181.85,     30289.75,190.50
,Nifty100ESGSecLdr,      4018.00,      4023.95,      4060.70,      4023.75,      4032.65,14.65
,NIFTY100 ESG,      4884.20,      4889.70,      4927.60,      4889.35,      4904.60,20.40
,NIFTY M150 QLTY50,     23617.30,     23692.60,     23941.75,     23689.15,     23878.00,260.70
,NIFTY INDIA MFG,     15740.10,     15766.10,     15856.60,     15762.60,     15793.30,53.20
,Nifty200 Alpha 30,     25748.05,     25826.00,     26114.25,     25821.55,     25994.90,246.85
,NiftyM150Momntm50,     61207.70,     61415.40,     62233.85,     61405.95,     62116.65,908.95
,Nifty50 USD,      8659.30,      8659.30,      8765.20,      8659.25,      8710.35,51.05
