,12-Aug-2026
The Nifty witnessed an intraday movement of about 207.35 points.The closing index was 0.15 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 130811.40
, Traded Quantity (in Lakhs), 50927.55
, Number of Trades, 38377483
, Total Market Capitalisation (Rs. Crores), 49206738.78

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     24471.70,     24472.45,     24473.30,     24265.95,     24435.95,-35.75
,NIFTY50 EQL Wgt,     33564.20,     33584.10,     33585.05,     33264.75,     33456.25,-107.95
,NIFTY100 EQL Wgt,     35528.90,     35518.45,     35518.95,     35263.25,     35496.45,-32.45
,NIFTY100 LowVol30,     20606.80,     20599.95,     20602.40,     20441.10,     20576.95,-29.85
,NIFTY Alpha 50,     56346.20,     56543.85,     57072.30,     56448.20,     57025.30,679.10
,NIFTY MIDCAP 150,     23459.80,     23489.40,     23528.90,     23355.00,     23521.50,61.70
,NIFTY SMLCAP 50,      9942.80,      9961.65,      9964.90,      9889.80,      9914.30,-28.50
,NIFTY SMLCAP 250,     18381.85,     18414.60,     18427.85,     18314.40,     18335.65,-46.20
,NIFTY MIDSML 400,     21615.05,     21646.15,     21646.25,     21526.80,     21633.75,18.70
,NIFTY200 QUALTY30,     20974.25,     20985.05,     20986.50,     20742.30,     20879.15,-95.10
,Nifty FinSrv25 50,     28828.15,     28824.15,     28825.60,     28630.55,     28825.60,-2.55
,NIFTY AlphaLowVol,     27512.10,     27530.40,     27567.35,     27422.60,     27567.35,55.25
,Nifty200Momentm30,     31212.45,     31322.40,     31451.95,     31189.90,     31425.70,213.25
,Nifty100ESGSecLdr,      4115.20,      4114.05,      4114.05,      4080.15,      4111.50,-3.70
,NIFTY100 ESG,      5117.20,      5113.55,      5114.40,      5076.10,      5108.05,-9.15
,NIFTY M150 QLTY50,     24914.65,     24932.70,     24933.15,     24766.55,     24908.00,-6.65
