SYMBOL,SYMBOL P/E,ADJUSTED P/E
THERMAX,77.86,82.83
WHEELS,24.74,24.74
RIIL,118.41,118.41
PREMIERPOL,20.61,20.61
RAYMOND,71.17,15.42
RSWM,18.06,15.66
SHREDIGCEM,44.82,44.82
SESHAPAPER,21.47,21.47
SMLMAH,34.76,34.76
SUNDRMFAST,32.97,32.43
EXIDEIND,40.99,40.67
ELECON,33.56,40.10
CRISIL,34.25,34.25
LMW,128.68,121.97
NELCO,690.63,213.61
MASTEK,12.58,12.09
MAHSCOOTER,47.92,47.92
LUMAXIND,42.43,38.52
TRENT,90.90,89.89
KECL,54.78,35.23
CUMMINSIND,72.38,70.35
KCP,7.85,7.59
JAYBARMARU,14.81,14.32
JBCHEPHARM,54.81,53.34
INFY,14.76,14.32
INDIAGLYCO,29.33,29.25
IONEXCHANG,42.04,38.71
IFBIND,34.86,32.53
IGPL,595.83,595.83
HIMATSEIDE,17.60,17.60
GNFC,9.47,9.47
BPCL,5.60,5.53
BHARATFORG,91.87,84.14
BASF,37.04,37.04
FORCEMOT,20.20,23.08
ATUL,27.65,27.71
ARVIND,33.63,32.75
ACC,12.20,12.35
TMPV,,29.85
SCI,10.21,10.21
MRPL,13.40,13.40
LINDEINDIA,123.41,123.41
HINDPETRO,5.22,5.22
ESCORTS,24.39,24.77
BAJAJHLDNG,54.85,147.20
ASHOKLEY,26.28,24.52
VOLTAS,85.14,81.92
TITAN,80.59,79.40
TATASTEEL,22.53,21.15
SUNDARMFIN,26.50,25.76
SPIC,7.89,7.89
VEDL,6.78,6.18
SBIN,11.25,11.56
RELIANCE,18.52,18.52
PFIZER,28.74,27.46
NOCIL,52.90,49.81
BOSCHLTD,44.65,53.23
DRREDDY,27.28,27.28
BATAINDIA,65.63,94.51
DEEPAKFERT,26.93,26.93
CHAMBLFERT,10.18,10.18
CARBORUNIV,154.28,51.21
MAHSEAMLES,11.35,11.29
HINDOILEXP,32.77,67.47
DICIND,24.91,22.57
COROMANDEL,32.24,31.55
BALMLAWRIE,15.23,15.23
MOTOGENFIN,0.75,
MARALOVER,67.03,56.64
ASIANPAINT,61.95,60.34
RAMCOCEM,31.99,124.73
INDIACEM,,137.99
PGHL,31.74,31.74
BEML,107.97,107.97
ADOR,27.67,27.05
CENTENKA,11.28,11.12
TATACHEM,,224.93
TORNTPHARM,76.88,74.73
VTL,26.56,26.56
SUNDROP,119.94,119.94
FEDERALBNK,18.26,18.26
EPL,19.91,18.78
VLSFINANCE,36.63,36.63
SUPREMEIND,47.39,47.39
SRF,45.40,43.89
BIRLACABLE,32.67,32.67
BALRAMCHIN,35.31,35.31
AEGISLOG,43.89,43.89
WEIZMANIND,18.02,18.02
UNICHEMLAB,13.29,67.17
BBOX,77.98,61.54
HONAUT,64.23,63.24
JTEKTINDIA,52.22,49.28
SAURASHCEM,43.82,27.80
RANEHOLDIN,15.90,18.09
PRECOT,26.16,26.16
TATAELXSI,36.75,34.03
SUNPHARMA,39.49,36.38
KOHINOOR,1.14,
SHREYANIND,30.79,30.79
SANDESH,11.39,11.10
HCC,39.02,45.29
BAJAJHIND,33.09,29.82
APOLLOHOSP,64.90,64.41
ARE&M,17.22,21.90
ADANIENT,41.70,159.81
IVP,9.90,9.74
BALKRISIND,35.07,35.07
INDBANK,22.63,22.63
GINNIFILA,10.79,9.76
EICHERMOT,43.85,43.45
RAJSREESUG,91.31,32.98
GVT&D,92.20,88.94
NEULANDLAB,66.62,66.62
ONGC,6.57,6.52
ITI,96.08,
ZENSARTECH,13.74,13.40
TAINWALCHM,17.05,17.05
BERGEPAINT,55.08,53.16
BANARISUG,29.46,29.46
KPIL,22.42,22.87
JYOTISTRUC,24.37,24.37
IGARASHI,122.06,122.06
BSL,56.47,56.47
BLUEDART,46.98,40.85
JAYNECOIND,18.29,17.90
MUNJALSHOW,24.55,22.84
APCOTEXIND,25.97,26.08
SOTL,21.07,21.07
HSCL,43.00,43.00
RCF,16.80,18.27
RANASUG,0.68,
KARURVYSYA,11.72,11.72
DECCANCE,27.73,51.56
WSI,219.21,254.68
UFLEX,9.48,9.22
TATAPOWER,27.33,27.07
ADVANIHOTR,20.38,19.80
THOMASCOOK,23.14,22.62
SUNFLAG,29.88,28.90
SUBROS,32.56,31.51
SPMLINFRA,21.31,21.31
SIMPLEXINF,54.94,55.98
SIEMENS,98.47,98.47
BHARATRAS,15.56,14.16
WIPRO,12.94,12.94
VSTIND,15.55,15.55
JUBLPHARMA,39.19,35.30
UNIVCABLES,43.92,43.92
TATACOMM,54.01,51.03
TOKYOPLAST,127.13,127.13
SOMANYCERA,28.80,27.81
MURUDCERA,16.91,16.91
IFCI,46.15,44.60
HLVLTD,243.10,98.95
SANOFI,25.74,24.25
M&M,23.86,23.56
LIBERTSHOE,41.21,41.71
KAJARIACER,39.45,37.17
HEIDELBERG,27.04,26.02
MODTHREAD,13.30,13.30
MANGLMCEM,19.74,18.10
PRSMJOHNSN,96.18,
POLYPLEX,78.62,78.62
PIDILITIND,66.76,66.49
PCBL,62.54,67.34
3PLAND,27.35,27.35
OSWALAGRO,65.28,39.25
EIHAHOTELS,22.81,22.09
HONDAPOWER,34.16,30.69
JINDALSAW,18.46,18.46
SAIL,23.22,20.29
RUBYMILLS,26.31,26.31
STYRENIX,21.44,21.29
ABB,96.19,96.19
IDBI,9.73,9.73
GRAPHITE,68.95,68.22
CANFINHOME,11.16,11.16
BRITANNIA,51.11,51.11
BBL,25.48,25.48
ELECTCAST,29.62,25.41
DHAMPURSUG,14.09,14.09
DCMSHRIRAM,19.00,18.56
DABUR,43.01,42.74
COSMOFIRST,14.36,13.86
CIPLA,30.31,28.63
HEROMOTOCO,18.54,18.22
HDFCBANK,16.43,16.20
HARRMALAYA,12.68,12.68
GMBREW,14.25,14.25
GIPCL,6.12,6.12
ITC,17.53,17.32
INDIANHUME,12.95,19.88
HINDCOMPOS,20.72,19.78
IOC,4.93,4.93
OSWALGREEN,,16.01
HUHTAMAKI,13.69,13.72
RICOAUTO,33.80,29.97
KAMATHOTEL,14.56,19.91
IFBAGRO,15.68,15.68
BANCOINDIA,20.20,20.75
MANINDS,24.75,24.75
APOLLOTYRE,21.03,20.14
SIYSIL,12.38,12.38
SHANTIGEAR,44.44,42.50
PRECWIRE,44.02,44.02
ONWARDTEC,14.03,13.35
NILKAMAL,18.22,16.74
NCC,13.03,12.56
ICIL,67.48,67.48
SEAMECLTD,14.36,14.36
ELGIEQUIP,44.08,43.00
AUROPHARMA,26.01,25.67
BBTC,4.25,4.39
EIHOTEL,35.08,30.28
KANORICHEM,29.70,29.70
LICHSGFIN,5.34,5.34
GICHSGFIN,5.30,5.30
BEPL,13.66,13.66
RAIN,16.63,16.63
BANARBEADS,37.75,37.75
MOREPENLAB,35.06,46.28
WSTCSTPAPR,22.62,22.62
VENKEYS,14.35,14.35
GHCL,8.32,8.32
S&SPOWER,43.48,43.48
PRUDMOULI,6.47,6.47
PRAJIND,278.26,73.12
BPL,,282.76
PGHH,34.11,34.11
VESUVIUS,35.97,35.97
TFCILTD,29.61,29.61
BOMDYEING,96.63,93.86
GTL,0.20,
NAVNETEDUL,10.04,40.72
GUJALKALI,209.62,209.62
AGI,13.05,12.91
GLAXO,39.35,39.94
TATACONSUM,67.99,67.41
ZEEL,36.27,35.36
CHOLAFIN,30.22,30.22
INDHOTEL,48.37,53.46
FMGOETZE,14.15,13.31
KOTAKBANK,19.79,20.07
ORIENTHOT,34.21,33.89
GILLETTE,39.15,39.15
GOLDENTOBC,6.48,7.35
KANSAINER,29.19,27.09
FOSECOIND,44.31,39.02
ESABINDIA,42.41,46.03
3MINDIA,76.05,90.37
ANDHRAPAP,65.65,65.65
GABRIEL,72.14,69.26
SCHAEFFLER,52.89,52.89
AARTIIND,41.42,42.14
RALLIS,24.40,
AMJLAND,10.97,10.97
PRAKASH,6.91,6.91
MFSL,531.65,531.65
KSB,65.98,61.88
KOPRAN,35.54,35.54
HEG,46.43,46.43
GREAVESCOT,146.51,156.40
GODFRYPHLP,26.80,26.80
VARDMNPOLY,43.01,43.01
SURYAROSNI,19.82,19.82
TATAINVEST,106.74,106.74
TIMKEN,60.33,60.33
SUDARSCHEM,631.69,128.92
SHREECEM,55.11,55.11
SAKHTISUG,7.16,7.16
IPCALAB,38.18,36.26
INGERRAND,53.64,52.19
JSWDULUX,7.17,38.50
HINDALCO,16.26,13.96
HINDZINC,16.22,16.25
HINDUNILVR,48.97,48.15
GSFC,9.69,9.69
GRASIM,21.48,20.97
AMBUJACEM,19.78,17.32
FINPIPE,19.02,19.02
FINCABLES,24.48,29.90
EIDPARRY,9.67,5.95
DCW,29.90,29.90
CGPOWER,119.83,117.42
SUDARCOLOR,18.76,13.24
CESC,13.71,13.71
BIRLACORPN,13.37,13.23
BHEL,85.16,85.16
BHARATGEAR,11.71,11.71
BEL,50.87,50.87
BAJFINANCE,33.60,33.29
ASHAPURMIN,15.45,15.28
NAVA,16.44,16.44
CORALFINAC,9.65,9.65
GREENPLY,33.56,30.81
TNPL,4.04,4.04
AUTOAXLES,16.57,15.75
REMSONSIND,14.45,14.03
DALMIASUG,12.48,12.48
NATCOPHARM,12.85,12.85
KHAITANLTD,10.05,10.05
SWARAJENG,23.35,23.06
MRF,24.30,23.84
GARFIBRES,35.69,33.93
ANDHRSUGAR,12.93,11.57
TNPETRO,9.04,9.64
TTKPRESTIG,55.62,49.69
STARPAPER,6.68,6.68
SKFINDIA,29.39,27.04
AUSOMENT,10.67,10.67
EIMCOELECO,28.76,28.76
JAYAGROGN,11.74,11.74
CUBEXTUB,15.44,15.44
MARICO,60.70,60.70
SILINV,11.67,11.67
SAMBHAAV,2060.41,2060.41
BIOFILCHEM,19.62,19.62
KEYFINSERV,22.88,22.30
ZENITHEXPO,47.25,47.25
SUNDRMBRAK,125.66,111.34
SANGAMIND,33.58,31.25
MOTHERSON,43.21,40.32
SOMATEX,36.00,95.29
VISAKAIND,8.24,18.56
AARTIDRUGS,18.21,18.21
STERTOOLS,29.57,50.07
CREST,21.91,21.91
INDIANCARD,35.87,28.69
HITECHGEAR,59.73,59.73
WENDT,108.65,108.65
DENORA,53.50,53.50
TVSSRICHAK,45.36,49.73
SHRIRAMFIN,25.09,25.09
PUNJABCHEM,20.45,19.94
DYNAMATECH,225.58,158.28
GUJAPOLLO,88.46,88.46
GANESHHOU,22.29,22.29
MMFL,24.35,24.34
JAGSNPHARM,36.48,35.22
ALKYLAMINE,51.02,51.02
BOSCH-HCIL,,230.49
MPHASIS,24.33,24.00
GUJRAFFIA,20.47,20.47
RUCHINFRA,14.27,14.27
RAMCOIND,22.78,23.84
KOTHARIPET,11.16,11.13
HERITGFOOD,20.27,21.40
INDRAMEDCO,18.91,18.91
BANKBARODA,6.58,6.58
MADRASFERT,13.74,12.63
GAIL,18.83,18.83
INDNIPPON,20.93,23.39
SKMEGGPROD,15.86,15.86
BANKINDIA,6.43,6.20
CONCOR,29.61,29.61
ICICIBANK,17.60,17.60
KCPSUGIND,22.28,22.28
HUDCO,10.45,10.45
INDSWFTLAB,45.28,38.43
SAREGAMA,43.13,41.89
FDC,24.65,23.38
ENGINERSIN,21.13,21.13
ADROITINFO,14.86,14.86
JAICORPLTD,11.56,11.49
ANTGRAPHIC,9.74,9.74
