SYMBOL,SYMBOL P/E,ADJUSTED P/E
THERMAX,75.74,80.58
WHEELS,24.23,24.23
RIIL,114.12,114.12
PREMIERPOL,25.67,25.67
RAYMOND,71.56,15.51
RSWM,19.79,17.16
SHREDIGCEM,43.44,43.44
SESHAPAPER,20.36,20.36
SMLMAH,37.10,37.10
SUNDRMFAST,34.39,33.84
EXIDEIND,41.67,41.34
ELECON,43.82,41.64
CRISIL,36.86,36.86
LMW,130.49,123.69
NELCO,526.89,193.15
MASTEK,13.57,13.04
MAHSCOOTER,47.71,47.71
LUMAXIND,41.97,38.10
TRENT,88.80,87.81
KECL,58.18,37.42
CUMMINSIND,73.97,71.90
KCP,7.90,7.64
JAYBARMARU,14.19,13.73
INFY,14.90,14.47
INDIAGLYCO,31.47,31.38
IONEXCHANG,45.19,41.61
IFBIND,38.02,35.48
IGPL,598.82,598.82
HIMATSEIDE,17.25,17.25
GNFC,9.46,9.46
BPCL,5.56,5.50
BHARATFORG,91.57,83.86
BASF,39.72,39.72
FORCEMOT,19.90,22.75
ATUL,26.28,26.34
ARVIND,33.41,32.53
ACC,12.11,12.25
TMPV,,28.94
SCI,10.21,10.21
MRPL,9.79,11.16
LINDEINDIA,123.19,123.19
HINDPETRO,5.13,5.13
ESCORTS,24.11,24.49
BAJAJHLDNG,53.10,142.52
ASHOKLEY,24.79,23.13
VOLTAS,90.82,87.38
TITAN,80.97,79.77
TATASTEEL,22.02,20.67
SUNDARMFIN,24.63,23.94
SPIC,7.68,7.68
VEDL,6.36,5.79
SBIN,11.18,11.48
RELIANCE,18.35,18.35
PFIZER,29.75,28.42
NOCIL,49.90,46.99
BOSCHLTD,43.78,52.19
DRREDDY,24.66,24.66
BATAINDIA,65.05,93.68
DEEPAKFERT,27.36,27.36
CHAMBLFERT,10.02,10.02
CARBORUNIV,151.38,50.25
MAHSEAMLES,11.01,10.94
HINDOILEXP,33.17,68.30
DICIND,24.50,22.19
COROMANDEL,31.43,30.75
BALMLAWRIE,15.03,15.03
MOTOGENFIN,0.72,
MARALOVER,71.53,60.44
ASIANPAINT,60.66,59.09
RAMCOCEM,31.87,124.25
INDIACEM,,144.28
PGHL,34.80,34.80
BEML,107.27,107.27
ADOR,28.71,28.07
CENTENKA,11.68,11.51
TATACHEM,,217.48
TORNTPHARM,78.95,76.75
VTL,26.18,26.18
SUNDROP,120.31,120.31
FEDERALBNK,17.99,17.99
EPL,19.06,17.98
VLSFINANCE,36.28,36.28
SUPREMEIND,52.47,52.47
SRF,46.67,45.12
BIRLACABLE,33.37,33.37
BALRAMCHIN,36.94,36.94
AEGISLOG,41.15,41.15
WEIZMANIND,17.56,17.56
UNICHEMLAB,16.84,85.13
BBOX,70.84,55.91
HONAUT,65.71,64.69
JTEKTINDIA,50.18,47.36
SAURASHCEM,48.28,30.63
RANEHOLDIN,15.97,18.17
PRECOT,27.82,27.82
TATAELXSI,33.67,31.26
SUNPHARMA,40.46,37.28
KOHINOOR,1.11,
SHREYANIND,29.55,29.55
SANDESH,11.18,10.90
HCC,37.58,43.62
BAJAJHIND,32.45,29.24
APOLLOHOSP,65.28,64.78
ARE&M,18.42,23.43
ADANIENT,43.98,168.56
IVP,8.85,8.70
BALKRISIND,33.36,33.36
INDBANK,20.36,20.36
GINNIFILA,10.47,9.47
EICHERMOT,43.17,42.78
RAJSREESUG,90.99,32.87
GVT&D,95.17,91.81
NEULANDLAB,66.09,66.09
ONGC,6.63,6.59
ITI,94.01,
ZENSARTECH,15.61,15.23
TAINWALCHM,19.11,19.11
BERGEPAINT,53.95,52.07
BANARISUG,29.46,29.46
KPIL,21.87,22.32
JYOTISTRUC,24.12,24.12
IGARASHI,121.27,121.27
BSL,54.63,54.63
BLUEDART,47.08,40.94
JAYNECOIND,19.29,18.88
MUNJALSHOW,24.78,23.05
APCOTEXIND,27.69,27.82
SOTL,21.88,21.88
HSCL,45.32,45.32
RCF,16.51,17.95
RANASUG,7.66,
KARURVYSYA,11.71,11.71
DECCANCE,28.56,53.10
WSI,210.80,244.91
UFLEX,9.68,9.42
TATAPOWER,27.33,27.06
ADVANIHOTR,20.17,19.60
THOMASCOOK,22.64,22.13
SUNFLAG,31.69,30.65
SUBROS,31.76,30.73
SPMLINFRA,23.14,23.14
SIMPLEXINF,54.24,55.26
SIEMENS,103.05,103.05
BHARATRAS,15.78,14.37
WIPRO,13.27,13.27
VSTIND,13.67,13.67
JUBLPHARMA,40.87,36.81
UNIVCABLES,47.37,47.37
TATACOMM,52.11,49.24
TOKYOPLAST,126.68,126.68
SOMANYCERA,28.94,27.96
MURUDCERA,16.70,16.70
IFCI,45.59,44.06
HLVLTD,234.54,95.47
SANOFI,25.35,23.89
M&M,23.28,22.98
LIBERTSHOE,38.92,39.39
KAJARIACER,40.45,38.11
HEIDELBERG,26.96,25.95
MODTHREAD,13.28,13.28
MANGLMCEM,21.03,19.28
PRSMJOHNSN,92.72,
POLYPLEX,81.59,81.59
PIDILITIND,64.18,63.92
PCBL,64.67,69.63
3PLAND,26.42,26.42
OSWALAGRO,62.85,37.79
EIHAHOTELS,22.60,21.88
HONDAPOWER,33.36,29.98
JINDALSAW,28.71,28.71
SAIL,22.93,20.05
RUBYMILLS,30.78,30.78
STYRENIX,20.99,20.84
ABB,105.70,105.70
IDBI,9.98,9.98
GRAPHITE,74.85,74.06
CANFINHOME,11.09,11.09
BRITANNIA,49.83,49.83
BBL,25.38,25.38
ELECTCAST,28.85,24.75
DHAMPURSUG,14.13,14.13
DCMSHRIRAM,18.53,18.10
DABUR,40.73,40.47
COSMOFIRST,14.24,13.75
CIPLA,29.84,28.19
HEROMOTOCO,18.18,17.87
HDFCBANK,16.01,15.79
HARRMALAYA,14.11,14.11
GMBREW,12.33,12.33
GIPCL,6.31,6.31
ITC,16.96,16.75
INDIANHUME,15.11,23.19
HINDCOMPOS,21.29,20.32
IOC,4.92,4.92
OSWALGREEN,,15.52
HUHTAMAKI,14.94,14.97
RICOAUTO,32.50,28.83
KAMATHOTEL,13.73,18.78
IFBAGRO,16.10,16.10
BANCOINDIA,19.63,20.17
