Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
04 AUG 2026,20MICRONS,EQ,20 MICRONS LTD           ,Listed    ,04 AUG 2026,               5.00,          35286502,            196.70,     6941560673.45 
04 AUG 2026,21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,Listed    ,04 AUG 2026,              10.00,          10500000,             41.75,      438585000.00
04 AUG 2026,360ONE,EQ,360 ONE WAM LIMITED      ,Listed    ,04 AUG 2026,               1.00,         406486596,           1155.00,   469492018380.00    
04 AUG 2026,3BBLACKBIO,EQ,3B BLACKBIO DX LTD.      ,Permitted ,04 AUG 2026,              10.00,           8582670,           1238.50,    10629636795.00
04 AUG 2026,3IINFOLTD,EQ,3I INFOTECH LIMITED      ,Listed    ,04 AUG 2026,              10.00,         207403767,             25.10,     5209982627.05 
04 AUG 2026,3MINDIA,EQ,3M INDIA LIMITED         ,Listed    ,04 AUG 2026,              10.00,          11265070,          35725.00,   402444625750.00   
04 AUG 2026,3PLAND,EQ,3P LAND HOLDINGS LIMITED ,Listed    ,04 AUG 2026,               2.00,          18000000,             31.85,      573480000.00    
04 AUG 2026,5PAISA,EQ,5PAISA CAPITAL LIMITED   ,Listed    ,04 AUG 2026,              10.00,          46882257,            351.00,    16455672207.00    
04 AUG 2026,63MOONS,EQ,63 MOONS TECHNOLOGIES LTD,Listed    ,04 AUG 2026,               2.00,          46078537,            864.20,    39821071675.40   
04 AUG 2026,A2ZINFRA,EQ,A2Z INFRA ENGINEERING LTD,Listed    ,04 AUG 2026,              10.00,         177522358,             17.25,     3060485451.90  
04 AUG 2026,AAATECH,EQ,AAA TECHNOLOGIES LIMITED ,Listed    ,04 AUG 2026,              10.00,          12826800,             89.25,     1144535364.00   
04 AUG 2026,AADHARHFC,EQ,AADHAR HOUSING FINANCE L ,Listed    ,04 AUG 2026,              10.00,         437298899,            492.80,   215500897427.20 
