Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
23 JUL 2026,20MICRONS,EQ,20 MICRONS LTD           ,Listed    ,23 JUL 2026,               5.00,          35286502,            209.80,     7403460984.60 
23 JUL 2026,21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,Listed    ,23 JUL 2026,              10.00,          10500000,             36.40,      382095000.00
23 JUL 2026,360ONE,EQ,360 ONE WAM LIMITED      ,Listed    ,23 JUL 2026,               1.00,         406486596,           1083.20,   440306280787.20    
23 JUL 2026,3BBLACKBIO,EQ,3B BLACKBIO DX LTD.      ,Permitted ,23 JUL 2026,              10.00,           8582670,           1275.70,    10948912119.00
23 JUL 2026,3IINFOLTD,EQ,3I INFOTECH LIMITED      ,Listed    ,23 JUL 2026,              10.00,         207403767,             20.45,     4237258959.80 
23 JUL 2026,3MINDIA,EQ,3M INDIA LIMITED         ,Listed    ,23 JUL 2026,              10.00,          11265070,          35245.00,   397037392150.00   
23 JUL 2026,3PLAND,EQ,3P LAND HOLDINGS LIMITED ,Listed    ,23 JUL 2026,               2.00,          18000000,             31.85,      573300000.00    
23 JUL 2026,5PAISA,EQ,5PAISA CAPITAL LIMITED   ,Listed    ,23 JUL 2026,              10.00,          46882257,            367.30,    17219852996.10    
23 JUL 2026,63MOONS,EQ,63 MOONS TECHNOLOGIES LTD,Listed    ,23 JUL 2026,               2.00,          46078537,            704.00,    32439290048.00   
23 JUL 2026,A2ZINFRA,EQ,A2Z INFRA ENGINEERING LTD,Listed    ,23 JUL 2026,              10.00,         177522358,             12.10,     2151570978.95  
23 JUL 2026,AAATECH,EQ,AAA TECHNOLOGIES LIMITED ,Listed    ,23 JUL 2026,              10.00,          12826800,             90.55,     1161466740.00   
23 JUL 2026,AADHARHFC,EQ,AADHAR HOUSING FINANCE L ,Listed    ,23 JUL 2026,              10.00,         437298899,            500.80,   218999288619.20 
23 JUL 2026,AAKAAR,SM,AAKAAR MEDICAL TECHNO LTD,Listed    ,23 JUL 2026,              10.00,          14172816,             74.90,     1061543918.40    
23 JUL 2026,AAKASH,EQ,AAKASH EXPLORATION SER L ,Listed    ,23 JUL 2026,               1.00,         101250000,              9.15,      926437500.00    
23 JUL 2026,AARADHYA,SM,AARADHYA DISPOSAL INDUS L,Listed    ,23 JUL 2026,              10.00,          14138000,             75.00,     1060350000.00  
23 JUL 2026,AAREYDRUGS,BE,AAREY DRUGS & PHARM LTD  ,Listed    ,23 JUL 2026,              10.00,          28354303,             77.20,     2188952191.60
23 JUL 2026,AARNAV,EQ,AARNAV FASHIONS LIMITED  ,Listed    ,23 JUL 2026,              10.00,          42238628,             28.70,     1212248623.60    
23 JUL 2026,AARON,EQ,AARON INDUSTRIES LIMITED ,Listed    ,23 JUL 2026,              10.00,          20946478,            112.70,     2360877535.40     
23 JUL 2026,AARTECH,BE,AARTECH SOLONICS LIMITED ,Listed    ,23 JUL 2026,               5.00,          31770375,             47.95,     1522754073.75   
23 JUL 2026,AARTIDRUGS,EQ,AARTI DRUGS LTD.         ,Listed    ,23 JUL 2026,              10.00,          91270000,            410.00,    37420700000.00
23 JUL 2026,AARTIIND,EQ,AARTI INDUSTRIES LTD     ,Listed    ,23 JUL 2026,               5.00,         362594491,            478.20,   173392685596.20  
23 JUL 2026,AARTIPHARM,EQ,AARTI PHARMALABS LIMITED ,Listed    ,23 JUL 2026,               5.00,          90657751,            659.80,    59815984109.80
23 JUL 2026,AARTISURF,EQ,AARTI SURFACTANTS LIMITED,Listed    ,23 JUL 2026,              10.00,           8464995,            385.80,     3265795071.00 
23 JUL 2026,AARVI,EQ,AARVI ENCON LIMITED      ,Listed    ,23 JUL 2026,              10.00,          14844100,            156.65,     2325031383.00     
23 JUL 2026,AASTHA,EQ,AASTHA SPINTEX LIMITED   ,Listed    ,23 JUL 2026,              10.00,          44142190,            103.00,     4546645570.00    
23 JUL 2026,AATMAJ,SM,AATMAJ HEALTHCARE LIMITED,Listed    ,22 JUL 2026,               5.00,          22600000,             17.75,      401150000.00    
23 JUL 2026,AAVAS,EQ,AAVAS FINANCIERS LIMITED ,Listed    ,23 JUL 2026,              10.00,          79287782,           1385.90,   109884937073.80     
23 JUL 2026,ABAN,BE,ABAN OFFSHORE LTD.       ,Listed    ,23 JUL 2026,               2.00,          58365323,             14.85,      867308699.80      
23 JUL 2026,ABANSENT,BE,ABANS ENTERPRISES LTD.   ,Permitted ,23 JUL 2026,               2.00,          69748880,             27.00,     1883219760.00  
23 JUL 2026,ABB,EQ,ABB INDIA LIMITED        ,Listed    ,23 JUL 2026,               2.00,         211908375,           7528.00,  1595246247000.00       
23 JUL 2026,ABBOTINDIA,EQ,ABBOTT INDIA LIMITED     ,Permitted ,23 JUL 2026,              10.00,          21249302,          28690.00,   609642474380.00
23 JUL 2026,ABCAPITAL,EQ,ADITYA BIRLA CAPITAL LTD.,Listed    ,23 JUL 2026,              10.00,        2621853064,            392.25,  1028421864354.00 
23 JUL 2026,ABCOTS,EQ,A B COTSPIN INDIA LIMITED,Listed    ,23 JUL 2026,              10.00,          21963620,            200.40,     4401070175.60    
23 JUL 2026,ABDL,EQ,ALLIED BLEND N DISTILS L ,Listed    ,23 JUL 2026,               2.00,         279710151,            602.55,   168539351485.05      
23 JUL 2026,ABFRL,EQ,ADITYA BIRLA FASHION & RT,Listed    ,23 JUL 2026,              10.00,        1220510115,             56.05,    68385181743.45     
23 JUL 2026,ABHAPOWER,SM,ABHA POWER N STEEL LTD   ,Listed    ,23 JUL 2026,              10.00,          18587830,             25.10,      466554533.00 
23 JUL 2026,ABINFRA,EQ,A B INFRABUILD LIMITED   ,Listed    ,23 JUL 2026,               1.00,         638789360,             10.00,     6394281493.60   
23 JUL 2026,ABLBL,EQ,ADITYA BIRLA LIFES BRAN L,Listed    ,23 JUL 2026,              10.00,        1220521649,             92.85,   113325435109.65     
23 JUL 2026,ABMINTLLTD,EQ,ABM INTERNATIONAL LTD    ,Listed    ,23 JUL 2026,              10.00,           9408000,             42.05,      395794560.00
23 JUL 2026,ABMKNO,EQ,A B M KNOWLEDGEWARE LTD. ,Permitted ,23 JUL 2026,               5.00,          20002200,            197.60,     3952634742.00    
23 JUL 2026,ABNINT,IT,A B N INTERCORP LIMITED  ,Listed    ,Not Traded ,              10.00,            419532,            200.00,       83906400.00    
23 JUL 2026,ABREL,EQ,ADITYA BIRLA REAL EST LTD,Listed    ,23 JUL 2026,              10.00,         111695680,           1398.10,   156161730208.00     
23 JUL 2026,ABSLAMC,EQ,ADIT BIRL SUN LIF AMC LTD,Listed    ,23 JUL 2026,               5.00,         289175042,            986.00,   285126591412.00   
23 JUL 2026,ABSMARINE,ST,ABS MARINE SERVICES LTD  ,Listed    ,23 JUL 2026,              10.00,          24550000,            222.00,     5450100000.00 
23 JUL 2026,ACC,EQ,ACC LIMITED              ,Listed    ,23 JUL 2026,              10.00,         187787263,           1333.90,   250489430115.70       
23 JUL 2026,ACCELYA,EQ,ACCELYA SOLN INDIA LTD   ,Listed    ,23 JUL 2026,              10.00,          14926261,           1145.80,    17102509853.80   
23 JUL 2026,ACCENTMIC,SM,ACCENT MICROCELL LIMITED ,Listed    ,23 JUL 2026,              10.00,          23989020,            505.95,    12137244669.00 
23 JUL 2026,ACCORD,ST,ACCORD SYNERGY LIMITED   ,Listed    ,17 JUL 2026,              10.00,           3472000,            202.35,      702559200.00    
23 JUL 2026,ACCPL,ST,ACCRETION PHARMA LIMITED ,Listed    ,23 JUL 2026,              10.00,          11116000,            170.25,     1892499000.00     
23 JUL 2026,ACCURACY,BE,ACCURACY SHIPPING LIMITED,Listed    ,23 JUL 2026,               1.00,         150560000,              5.00,      755811200.00  
23 JUL 2026,ACE,EQ,ACTION CONST EQUIP LTD   ,Listed    ,23 JUL 2026,               2.00,         119083196,            979.00,   116582448884.00       
23 JUL 2026,ACEINTEG,EQ,ACE INTEGRATED SOLU. LTD.,Listed    ,23 JUL 2026,              10.00,          10200000,             19.60,      199920000.00  
23 JUL 2026,ACETEC,SM,ACETECH E-COMMERCE LTD   ,Listed    ,22 JUL 2026,              10.00,          16383735,            141.00,     2310106635.00    
23 JUL 2026,ACI,EQ,ARCHEAN CHEMICAL IND LTD ,Listed    ,23 JUL 2026,               2.00,         123458394,            553.35,    68315702319.90       
23 JUL 2026,ACL,EQ,ANDHRA CEMENTS LIMITED   ,Listed    ,23 JUL 2026,              10.00,          92172140,             47.65,     4391080749.60       
23 JUL 2026,ACMESOLAR,EQ,ACME SOLAR HOLDINGS LTD  ,Listed    ,23 JUL 2026,               2.00,         706874336,            363.05,   256630727684.80 
23 JUL 2026,ACSTECH,EQ,A C S TECHNOLOGIES LTD.  ,Permitted ,23 JUL 2026,              10.00,          60681608,             40.25,     2441221089.85   
23 JUL 2026,ACTIVEINFR,SM,ACTIVE INFRASTRUCTURES L ,Listed    ,21 JUL 2026,               5.00,          15015016,            180.00,     2702702880.00
23 JUL 2026,ACUTAAS,EQ,ACUTAAS CHEMICALS LIMITED,Listed    ,23 JUL 2026,               5.00,          81871122,           3459.10,   283200398110.20   
23 JUL 2026,ADANIENSOL,EQ,ADANI ENERGY SOLUTION LTD,Listed    ,23 JUL 2026,              10.00,        1201282642,           1683.80,  2022719712599.60
23 JUL 2026,ADANIENT,EQ,ADANI ENTERPRISES LIMITED,Listed    ,23 JUL 2026,               1.00,        1300905023,           3010.00,  3915724119230.00  
23 JUL 2026,ADANIGREEN,EQ,ADANI GREEN ENERGY LTD   ,Listed    ,23 JUL 2026,              10.00,        1647176155,           1379.90,  2272938376284.50
23 JUL 2026,ADANIPORTS,EQ,ADANI PORT & SEZ LTD     ,Listed    ,23 JUL 2026,               2.00,        2303959098,           1778.50,  4097591255793.00
23 JUL 2026,ADANIPOWER,EQ,ADANI POWER LTD          ,Listed    ,23 JUL 2026,               2.00,       19284694705,            212.25,  4092790757242.15
23 JUL 2026,ADDICTIVE,SM,ADDICTIVE LEARNING TECH L,Listed    ,23 JUL 2026,              10.00,          15909732,             38.50,      612524682.00 
23 JUL 2026,ADFFOODS,EQ,ADF FOODS LIMITED        ,Listed    ,23 JUL 2026,               2.00,         109863595,            296.65,    32591035456.75  
23 JUL 2026,ADISOFT,SM,ADISOFT TECHNOLOGIES LTD ,Listed    ,23 JUL 2026,              10.00,          16318000,            180.00,     2937240000.00   
23 JUL 2026,ADL,EQ,ARCHIDPLY DECOR LIMITED  ,Listed    ,23 JUL 2026,              10.00,           5566250,             69.35,      386019437.50       
23 JUL 2026,ADOR,EQ,ADOR WELDING LTD         ,Listed    ,23 JUL 2026,              10.00,          17402815,           1462.70,    25455097500.50      
