,04-Sep-2026
The Nifty witnessed an intraday movement of about 109.9 points.The closing index was 0.1 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 116163.36
, Traded Quantity (in Lakhs), 61157.95
, Number of Trades, 35661613
, Total Market Capitalisation (Rs. Crores), 48780877.96

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     23873.45,     23910.90,     24005.75,     23895.85,     23897.70,24.25
,NIFTY50 EQL Wgt,     32567.70,     32614.35,     32690.70,     32571.25,     32587.20,19.50
,NIFTY100 EQL Wgt,     34618.05,     34665.60,     34715.05,     34601.60,     34602.75,-15.30
,NIFTY100 LowVol30,     19941.05,     19977.80,     20016.10,     19913.55,     19913.55,-27.50
,NIFTY Alpha 50,     56618.75,     56702.10,     56723.70,     56382.40,     56408.30,-210.45
,NIFTY MIDCAP 150,     23220.50,     23229.75,     23278.65,     23163.35,     23168.35,-52.15
,NIFTY SMLCAP 50,      9987.95,     10022.55,     10064.35,     10002.30,     10019.50,31.55
,NIFTY SMLCAP 250,     18444.95,     18496.20,     18551.00,     18469.25,     18481.40,36.45
,NIFTY MIDSML 400,     21495.25,     21521.45,     21566.85,     21472.40,     21478.20,-17.05
,NIFTY200 QUALTY30,     20336.95,     20371.15,     20373.20,     20220.40,     20220.50,-116.45
,Nifty FinSrv25 50,     28084.50,     28145.65,     28357.70,     28141.35,     28217.10,132.60
,NIFTY AlphaLowVol,     26723.65,     26746.85,     26748.00,     26629.45,     26640.75,-82.90
,Nifty200Momentm30,     30734.95,     30752.80,     30821.55,     30623.85,     30718.25,-16.70
,Nifty100ESGSecLdr,      3998.55,      4004.25,      4020.85,      4002.35,      4005.80,7.25
,NIFTY100 ESG,      4955.75,      4962.75,      4972.75,      4954.35,      4954.35,-1.40
,NIFTY M150 QLTY50,     24311.50,     24292.00,     24308.45,     24184.40,     24191.90,-119.60
,NIFTY INDIA MFG,     16271.80,     16272.60,     16288.85,     16207.10,     16221.40,-50.40
,Nifty200 Alpha 30,     26624.25,     26642.35,     26755.10,     26555.10,     26626.05,1.80
,NiftyM150Momntm50,     63843.65,     63785.65,     63977.60,     63578.05,     63611.25,-232.40
,Nifty50 USD,      8753.95,      8753.95,      8807.20,      8710.30,      8762.45,8.50
