,07-Sep-2026
The Nifty witnessed an intraday movement of about 152.1 points.The closing index was 0.5 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 102943.51
, Traded Quantity (in Lakhs), 67620.02
, Number of Trades, 37505655
, Total Market Capitalisation (Rs. Crores), 48591358.15

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     23897.70,     23883.15,     23890.00,     23737.90,     23779.15,-118.55
,NIFTY50 EQL Wgt,     32587.20,     32550.10,     32568.75,     32339.35,     32376.10,-211.10
,NIFTY100 EQL Wgt,     34602.75,     34579.10,     34599.45,     34374.30,     34396.40,-206.35
,NIFTY100 LowVol30,     19913.55,     19870.70,     19873.15,     19738.95,     19765.20,-148.35
,NIFTY Alpha 50,     56408.30,     56402.35,     56500.25,     56249.15,     56302.45,-105.85
,NIFTY MIDCAP 150,     23168.35,     23172.75,     23201.15,     23013.95,     23062.25,-106.10
,NIFTY SMLCAP 50,     10019.50,     10008.45,     10067.95,      9988.40,     10026.65,7.15
,NIFTY SMLCAP 250,     18481.40,     18485.50,     18530.65,     18442.15,     18484.15,2.75
,NIFTY MIDSML 400,     21478.20,     21482.55,     21506.10,     21375.85,     21414.95,-63.25
,NIFTY200 QUALTY30,     20220.50,     20168.40,     20175.10,     19991.00,     20023.55,-196.95
,Nifty FinSrv25 50,     28217.10,     28243.55,     28243.55,     28049.50,     28073.70,-143.40
,NIFTY AlphaLowVol,     26640.75,     26641.00,     26667.60,     26486.50,     26534.55,-106.20
,Nifty200Momentm30,     30718.25,     30762.40,     30840.40,     30637.90,     30698.25,-20.00
,Nifty100ESGSecLdr,      4005.80,      4003.10,      4003.60,      3974.95,      3982.05,-23.75
,NIFTY100 ESG,      4954.35,      4948.10,      4948.65,      4915.00,      4920.55,-33.80
,NIFTY M150 QLTY50,     24191.90,     24186.45,     24201.10,     24015.45,     24101.65,-90.25
,NIFTY INDIA MFG,     16221.40,     16222.50,     16249.45,     16162.30,     16187.00,-34.40
,Nifty200 Alpha 30,     26626.05,     26651.55,     26701.50,     26539.65,     26589.65,-36.40
,NiftyM150Momntm50,     63611.25,     63675.05,     63829.30,     63431.45,     63530.90,-80.35
,Nifty50 USD,      8762.85,      8762.85,      8831.10,      8705.65,      8719.90,-42.95
,Nifty IT,     30695.10,     30343.20,     30377.10,     29847.25,     29995.20,-699.90
,Nifty Next 50,     72880.90,     72884.40,     72962.55,     72512.20,     72575.75,-305.15
,Nifty Bank,     57369.65,     57343.30,     57426.85,     57002.95,     57088.30,-281.35
,NIFTY MIDCAP 100,     63079.05,     63084.50,     63166.60,     62667.15,     62786.15,-292.90
,Nifty 500,     23254.15,     23248.05,     23260.40,     23124.10,     23156.20,-97.95
,Nifty 100,     25023.15,     25010.95,     25018.70,     24865.90,     24902.60,-120.55
,Nifty Midcap 50,     18127.75,     18126.45,     18159.70,     18004.65,     18051.60,-76.15
,Nifty Realty,       907.90,       910.65,       910.70,       892.40,       892.50,-15.40
,Nifty Infra,      9197.80,      9204.00,      9210.75,      9155.95,      9188.70,-9.10
,Nifty Energy,     38067.85,     38141.85,     38206.10,     37859.35,     37973.35,-94.50
,Nifty FMCG,     45892.75,     45850.65,     45891.00,     45567.15,     45592.15,-300.60
,Nifty MNC,     32110.95,     32091.65,     32110.40,     31985.90,     32038.05,-72.90
,Nifty Pharma,     26478.10,     26472.85,     26711.20,     26440.40,     26675.50,197.40
,Nifty PSE,      9710.15,      9726.45,      9748.80,      9667.40,      9680.05,-30.10
,Nifty PSU Bank,      8514.85,      8526.95,      8553.95,      8396.50,      8424.65,-90.20
,Nifty Serv Sector,     30575.55,     30555.25,     30556.20,     30365.05,     30422.70,-152.85
,Nifty Auto,     27710.90,     27649.70,     27785.55,     27552.05,     27698.75,-12.15
,Nifty Metal,     13317.45,     13336.70,     13353.80,     13125.55,     13152.90,-164.55
,Nifty Media,      1565.45,      1545.80,      1549.05,      1514.35,      1520.65,-44.80
,NIFTY SMLCAP 100,     20095.45,     20086.45,     20160.25,     20047.25,     20100.20,4.75
,Nifty 200,     13908.50,     13903.35,     13910.15,     13822.40,     13842.00,-66.50
,Nifty Div Opps 50,      5803.05,      5788.75,      5790.90,      5730.05,      5738.80,-64.25
,Nifty Commodities,      9803.85,      9807.70,      9820.75,      9683.60,      9702.10,-101.75
,Nifty Consumption,     11597.70,     11590.50,     11594.50,     11535.80,     11560.75,-36.95
,Nifty Fin Service,     26051.00,     26069.90,     26080.60,     25910.50,     25935.60,-115.40
,Nifty50 Div Point,       196.79,       196.79,       196.79,       196.79,       196.79,0.00
,Nifty100 Liq 15,      7500.80,      7513.90,      7518.05,      7455.15,      7475.05,-25.75
,Nifty CPSE,      6419.80,      6432.60,      6447.45,      6407.25,      6417.25,-2.55
,Nifty GrowSect 15,     11307.20,     11250.75,     11254.80,     11193.35,     11217.45,-89.75
,Nifty50 PR 2x Lev,     11698.60,     11681.40,     11686.95,     11539.35,     11579.55,-119.05
,Nifty50 PR 1x Inv,       222.80,       223.00,       224.35,       222.95,       223.95,1.15
,Nifty50 TR 2x Lev,     17836.00,     17809.85,     17818.25,     17593.25,     17654.55,-181.45
,Nifty50 TR 1x Inv,       180.75,       180.90,       182.00,       180.85,       181.65,0.90
,Nifty50 Value 20,     11817.40,     11807.00,     11808.80,     11706.25,     11729.95,-87.45
,Nifty Mid Liq 15,     17338.65,     17341.50,     17409.40,     17291.00,     17320.50,-18.15
,Nifty Pvt Bank,     27824.50,     27788.55,     27816.85,     27697.75,     27745.75,-78.75
