,28-Aug-2026
The Nifty witnessed an intraday movement of about 111.45 points.The closing index was 0.35 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 110671.11
, Traded Quantity (in Lakhs), 47505.80
, Number of Trades, 34007193
, Total Market Capitalisation (Rs. Crores), 49226698.61

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     24090.85,     24122.60,     24188.30,     24076.85,     24175.65,84.80
,NIFTY50 EQL Wgt,     32984.40,     33068.85,     33123.75,     32971.10,     33114.35,129.95
,NIFTY100 EQL Wgt,     35158.95,     35226.15,     35234.75,     35057.85,     35205.60,46.65
,NIFTY100 LowVol30,     20158.25,     20209.75,     20252.30,     20152.45,     20225.40,67.15
,NIFTY Alpha 50,     57483.65,     57650.55,     57726.95,     57380.75,     57712.20,228.55
,NIFTY MIDCAP 150,     23508.30,     23532.00,     23568.50,     23463.45,     23507.15,-1.15
,NIFTY SMLCAP 50,     10020.90,     10040.05,     10050.90,      9998.80,     10015.00,-5.90
,NIFTY SMLCAP 250,     18432.75,     18471.80,     18526.95,     18453.25,     18496.15,63.40
,NIFTY MIDSML 400,     21664.90,     21695.00,     21734.45,     21654.50,     21689.80,24.90
,NIFTY200 QUALTY30,     20453.95,     20527.60,     20633.00,     20519.00,     20609.10,155.15
,Nifty FinSrv25 50,     28506.00,     28475.40,     28515.65,     28363.45,     28463.50,-42.50
,NIFTY AlphaLowVol,     27117.95,     27164.50,     27179.20,     26984.60,     27115.75,-2.20
,Nifty200Momentm30,     31512.30,     31548.00,     31554.25,     31330.00,     31528.85,16.55
,Nifty100ESGSecLdr,      4044.60,      4047.35,      4055.40,      4034.10,      4052.35,7.75
,NIFTY100 ESG,      5030.35,      5037.75,      5050.10,      5022.65,      5043.65,13.30
,NIFTY M150 QLTY50,     24680.30,     24720.00,     24836.80,     24707.15,     24786.80,106.50
,NIFTY INDIA MFG,     16558.80,     16596.85,     16597.85,     16477.85,     16558.45,-0.35
,Nifty200 Alpha 30,     27446.35,     27483.75,     27499.10,     27271.40,     27423.05,-23.30
,NiftyM150Momntm50,     64895.65,     64896.65,     64995.25,     64656.20,     64955.95,60.30
,Nifty50 USD,      8736.60,      8736.60,      8782.10,      8683.65,      8782.10,45.50
,Nifty IT,     30221.15,     30493.15,     31322.90,     30473.50,     31281.70,1060.55
,Nifty Next 50,     74347.45,     74434.85,     74438.60,     73843.70,     74159.15,-188.30
,Nifty Bank,     57509.95,     57429.75,     57596.40,     57264.00,     57496.30,-13.65
,NIFTY MIDCAP 100,     64035.45,     64093.20,     64234.00,     63945.55,     64069.50,34.05
,Nifty 500,     23482.00,     23513.05,     23552.30,     23451.10,     23528.55,46.55
,Nifty 100,     25281.60,     25314.25,     25359.90,     25237.95,     25341.75,60.15
,Nifty Midcap 50,     18361.75,     18377.65,     18449.25,     18360.35,     18405.80,44.05
,Nifty Realty,       909.60,       912.55,       915.65,       904.05,       908.85,-0.75
,Nifty Infra,      9237.80,      9247.65,      9262.85,      9207.05,      9242.70,4.90
,Nifty Energy,     38103.95,     38137.85,     38154.50,     37932.15,     38003.65,-100.30
,Nifty FMCG,     47030.45,     47118.25,     47118.90,     46622.15,     46815.00,-215.45
,Nifty MNC,     33080.15,     33155.30,     33163.85,     32971.35,     33074.55,-5.60
,Nifty Pharma,     26848.75,     26906.55,     27009.95,     26786.40,     26991.85,143.10
,Nifty PSE,      9701.55,      9706.15,      9709.15,      9659.55,      9689.25,-12.30
,Nifty PSU Bank,      8587.80,      8593.75,      8608.40,      8557.50,      8604.30,16.50
,Nifty Serv Sector,     30750.10,     30753.65,     30905.65,     30747.75,     30900.20,150.10
,Nifty Auto,     28883.50,     28959.85,     29026.05,     28674.05,     28851.80,-31.70
,Nifty Metal,     13425.20,     13471.25,     13525.35,     13393.00,     13525.35,100.15
,Nifty Media,      1596.70,      1602.25,      1612.30,      1587.45,      1602.90,6.20
,NIFTY SMLCAP 100,     20040.65,     20079.60,     20129.10,     20045.25,     20080.00,39.35
,Nifty 200,     14065.80,     14082.85,     14107.60,     14042.70,     14094.00,28.20
,Nifty Div Opps 50,      5832.65,      5856.25,      5890.50,      5851.70,      5879.70,47.05
