,31-Jul-2026
The Nifty witnessed an intraday movement of about 129.7 points.The closing index was 0.27 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 131274.78
, Traded Quantity (in Lakhs), 43656.92
, Number of Trades, 37626807
, Total Market Capitalisation (Rs. Crores), 48533664.98

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     24317.15,     24361.45,     24429.40,     24299.70,     24383.60,66.45
,NIFTY50 EQL Wgt,     33297.95,     33354.90,     33448.10,     33270.90,     33391.95,94.00
,NIFTY100 EQL Wgt,     34930.65,     35025.25,     35240.90,     34989.30,     35174.50,243.85
,NIFTY100 LowVol30,     20556.60,     20560.50,     20616.35,     20476.10,     20570.85,14.25
,NIFTY Alpha 50,     53607.30,     53931.15,     54395.95,     53927.05,     54236.25,628.95
,NIFTY MIDCAP 150,     23031.25,     23093.25,     23180.50,     23004.50,     23138.45,107.20
,NIFTY SMLCAP 50,      9593.10,      9627.10,      9676.90,      9613.75,      9644.45,51.35
,NIFTY SMLCAP 250,     17845.60,     17910.30,     17986.20,     17851.90,     17919.90,74.30
,NIFTY MIDSML 400,     21139.35,     21203.00,     21283.20,     21126.80,     21234.20,94.85
,NIFTY200 QUALTY30,     20668.20,     20612.00,     20677.65,     20498.10,     20613.65,-54.55
,Nifty FinSrv25 50,     28720.25,     28821.15,     29071.90,     28806.25,     29055.85,335.60
,NIFTY AlphaLowVol,     27374.45,     27468.20,     27509.55,     27392.70,     27460.60,86.15
,Nifty200Momentm30,     30114.80,     30333.00,     30682.10,     30330.90,     30600.95,486.15
,Nifty100ESGSecLdr,      4089.20,      4098.40,      4118.90,      4092.85,      4113.75,24.55
,NIFTY100 ESG,      5056.75,      5065.75,      5100.00,      5055.70,      5090.50,33.75
,NIFTY M150 QLTY50,     24380.40,     24443.25,     24524.65,     24305.60,     24475.65,95.25
,NIFTY INDIA MFG,     16135.65,     16238.50,     16384.45,     16207.10,     16328.90,193.25
,Nifty200 Alpha 30,     25863.95,     26043.00,     26296.20,     26040.60,     26220.65,356.70
,NiftyM150Momntm50,     62140.50,     62415.85,     62977.35,     62369.50,     62913.45,772.95
,Nifty50 USD,      8806.45,      8806.45,      8974.00,      8806.45,      8849.55,43.10
,Nifty IT,     31194.55,     30488.40,     30900.25,     30034.40,     30708.90,-485.65
,Nifty Next 50,     72698.95,     72955.75,     73804.25,     72955.75,     73651.30,952.35
,Nifty Bank,     57147.50,     57225.90,     57411.25,     57139.60,     57264.85,117.35
,NIFTY MIDCAP 100,     62641.75,     62817.00,     63072.40,     62569.20,     62915.30,273.55
,Nifty 500,     23353.55,     23409.85,     23506.55,     23375.55,     23460.70,107.15
,Nifty 100,     25368.75,     25422.95,     25532.65,     25387.25,     25486.35,117.60
,Nifty Midcap 50,     18028.65,     18061.10,     18143.10,     17976.10,     18105.85,77.20
,Nifty Realty,       899.50,       901.20,       908.20,       896.35,       901.45,1.95
,Nifty Infra,      9345.05,      9381.75,      9417.85,      9355.80,      9409.25,64.20
