SYMBOL,SYMBOL P/E,ADJUSTED P/E
THERMAX,73.55,79.36
WHEELS,33.96,33.96
RIIL,88.99,88.99
PREMIERPOL,26.37,26.37
RAYMOND,89.14,21.04
RSWM,15.96,14.20
SHREDIGCEM,56.75,56.75
SESHAPAPER,15.73,15.73
SMLMAH,58.09,58.09
SUNDRMFAST,43.02,42.34
EXIDEIND,38.19,37.92
ELECON,39.97,37.99
CRISIL,39.05,39.05
LMW,107.66,102.80
NELCO,554.23,206.90
MASTEK,11.95,11.50
MAHSCOOTER,53.75,53.75
LUMAXIND,29.24,27.48
TRENT,82.82,81.95
KECL,112.49,55.37
CUMMINSIND,60.37,58.64
KCP,8.63,8.31
JAYBARMARU,9.20,8.90
INFY,13.87,13.48
INDIAGLYCO,6.58,6.56
IONEXCHANG,65.28,58.06
IFBIND,32.40,30.44
IGPL,20.88,20.88
HIMATSEIDE,15.45,15.45
GNFC,8.09,8.09
GFLLIMITED,10.59,10.59
BPCL,7.67,8.48
BHARATFORG,130.60,417.58
BASF,24.83,24.83
FORCEMOT,18.92,21.52
ATUL,23.08,23.12
ARVIND,36.05,33.99
ACC,12.34,12.40
TMPV,1.39,1.32
SCI,8.21,8.21
MRPL,10.12,11.51
LINDEINDIA,97.21,97.21
HINDPETRO,44.90,44.90
ESCORTS,23.93,23.24
RELINFRA,0.42,0.57
BAJAJHLDNG,13.60,13.60
ASHOKLEY,26.15,24.43
ZUARIIND,7.61,7.30
VOLTAS,86.70,83.00
TITAN,77.39,76.38
TATASTEEL,20.70,19.25
SUNDARMFIN,23.54,22.94
SPIC,6.89,6.89
VEDL,3.68,3.49
SBIN,10.81,11.10
RELIANCE,19.55,19.55
PFIZER,25.49,24.36
NOCIL,49.33,46.89
BOSCHLTD,60.88,60.88
DRREDDY,29.97,29.97
BATAINDIA,57.43,82.34
DEEPAKFERT,17.12,17.12
CHAMBLFERT,8.68,8.68
CARBORUNIV,110.62,44.89
MAHSEAMLES,13.07,13.04
HINDOILEXP,98.88,98.88
DICIND,19.08,17.86
COROMANDEL,32.56,31.81
BALMLAWRIE,11.57,11.57
VINDHYATEL,14.08,14.08
MOTOGENFIN,0.70,54.73
MARALOVER,11.92,11.60
ASIANPAINT,49.54,48.41
RAMCOCEM,31.84,172.08
INDIACEM,116.58,75.11
PGHL,25.24,27.07
BEML,94.69,94.69
ADOR,24.88,24.48
CENTENKA,8.45,8.36
TORNTPHARM,86.98,84.05
VTL,19.37,19.37
SUNDROP,90.25,90.25
FEDERALBNK,18.27,18.27
EPL,19.99,18.85
VLSFINANCE,16.48,16.48
SUPREMEIND,43.19,43.19
SRF,34.54,33.56
BIRLACABLE,24.31,24.31
BALRAMCHIN,40.21,40.21
AEGISLOG,31.09,31.09
WEIZMANIND,18.09,18.09
UNICHEMLAB,12.31,36.78
BBOX,58.53,45.92
HONAUT,54.79,53.98
JTEKTINDIA,46.02,43.27
SAURASHCEM,92.28,41.17
RANEHOLDIN,19.08,20.17
PRECOT,15.73,15.73
TATAELXSI,32.44,30.13
SUNPHARMA,36.85,35.28
KOHINOOR,1.32,
SANDESH,7.20,7.08
HCC,36.02,41.57
BAJAJHIND,44.32,39.57
APOLLOHOSP,58.92,58.51
ARE&M,16.26,20.53
ADANIENT,55.44,106.59
IVP,7.18,7.11
BALKRISIND,30.16,30.16
INDBANK,16.71,16.71
GINNIFILA,9.97,9.97
EICHERMOT,36.60,36.33
GVT&D,89.17,86.19
NEULANDLAB,61.34,61.34
ONGC,6.66,6.62
ITI,78.27,
ZENSARTECH,12.53,12.22
TAINWALCHM,24.59,24.49
BERGEPAINT,44.40,44.00
BANARISUG,36.98,36.98
JINDALPOLY,,58.53
KPIL,21.67,22.07
JYOTISTRUC,18.52,18.52
IGARASHI,78.34,78.34
BSL,34.58,34.58
BLUEDART,40.36,35.74
JAYNECOIND,15.72,15.44
MUNJALSHOW,20.48,19.21
APCOTEXIND,19.42,19.48
SOTL,11.55,11.55
HSCL,41.65,41.65
RCF,13.91,15.07
RANASUG,40.05,
KARURVYSYA,11.81,11.81
DECCANCE,137.14,
WSI,168.49,176.66
UFLEX,7.12,7.03
TATAPOWER,22.31,22.13
ADVANIHOTR,19.55,18.98
THOMASCOOK,24.20,23.62
SUNFLAG,30.25,29.27
SUBROS,27.95,27.04
SPMLINFRA,17.22,17.22
SIMPLEXINF,43.80,44.47
SIEMENS,41.15,41.15
BHARATRAS,13.88,13.56
WIPRO,12.40,12.40
VSTIND,12.59,12.59
JUBLPHARMA,46.49,41.33
UNIVCABLES,24.86,24.86
TATACOMM,53.70,48.77
TOKYOPLAST,212.28,212.28
SOMANYCERA,22.74,22.16
MURUDCERA,18.76,18.76
IFCI,53.04,51.47
HLVLTD,88.18,53.92
SANOFI,22.09,20.87
M&M,19.19,18.99
LIBERTSHOE,45.74,45.89
KAJARIACER,35.69,33.83
KABRAEXTRU,4876.83,3305.51
HEIDELBERG,30.94,29.61
MODTHREAD,9.94,9.94
MODIRUBBER,38763.36,38763.36
MANGLMCEM,24.60,22.32
PRSMJOHNSN,39.12,156.07
POLYPLEX,13.00,13.00
PIDILITIND,59.68,59.69
PCBL,50.89,53.82
3PLAND,25.37,25.37
EIHAHOTELS,20.21,19.80
HONDAPOWER,30.33,27.32
JINDALSAW,33.80,33.80
SAIL,17.77,15.82
RUBYMILLS,34.52,34.52
STYRENIX,13.81,13.75
ABB,51.98,51.98
IDBI,9.42,9.42
GRAPHITE,77.10,76.44
CANFINHOME,9.22,9.22
BRITANNIA,46.22,46.22
BBL,22.55,22.55
ELECTCAST,40.88,33.47
DHAMPURSUG,15.17,15.17
DCMSHRIRAM,10.94,11.56
DABUR,34.31,34.10
COSMOFIRST,13.85,13.41
CIPLA,33.06,30.97
HEROMOTOCO,19.26,18.93
HDFCBANK,13.53,13.35
HARRMALAYA,12.72,12.72
GMBREW,12.36,12.36
GIPCL,6.21,6.21
ITC,16.10,16.15
INDIANHUME,13.54,20.66
HINDCOMPOS,17.43,16.66
IOC,5.33,5.33
OSWALGREEN,,13.43
HUHTAMAKI,14.51,14.51
RICOAUTO,54.55,45.57
KAMATHOTEL,15.05,19.54
IFBAGRO,13.74,13.74
BANCOINDIA,18.15,18.63
MANINDS,32.18,32.18
APOLLOTYRE,15.60,14.14
SIYSIL,10.46,10.46
SHANTIGEAR,87.20,82.67
PRECWIRE,48.64,48.64
ONWARDTEC,15.02,14.26
NILKAMAL,24.77,23.04
NCC,12.01,11.60
ICIL,57.68,57.68
SEAMECLTD,17.40,17.40
ELGIEQUIP,43.98,42.46
AUROPHARMA,25.87,25.39
BBTC,3.87,4.02
EIHOTEL,24.07,23.56
KANORICHEM,4.99,4.99
LICHSGFIN,5.29,5.29
GICHSGFIN,4.65,4.65
BEPL,16.22,16.22
RAIN,10.96,10.96
BANARBEADS,38.71,38.71
MOREPENLAB,44.95,53.84
WSTCSTPAPR,19.76,19.76
VENKEYS,14.25,14.25
GHCL,7.53,8.17
S&SPOWER,52.30,52.30
PRUDMOULI,7.06,7.06
PRAJIND,199.51,61.92
PGHH,31.12,31.12
VESUVIUS,35.35,35.35
TFCILTD,43.01,43.01
BOMDYEING,115.09,109.69
GTL,0.13,
NAVNETEDUL,8.98,51.11
GUJALKALI,79.56,79.56
AGI,13.90,13.76
GLAXO,45.06,45.71
TATACONSUM,60.24,59.72
ZEEL,38.51,37.22
CHOLAFIN,27.61,27.61
INDHOTEL,44.13,48.52
FMGOETZE,13.85,13.03
KOTAKBANK,20.42,20.69
ORIENTHOT,37.49,37.12
GILLETTE,36.02,36.02
GOLDENTOBC,6.24,7.08
KANSAINER,26.26,24.41
FOSECOIND,45.97,41.20
ESABINDIA,40.40,43.59
3MINDIA,63.96,84.21
ANDHRAPAP,52.24,52.24
GABRIEL,79.53,76.83
SCHAEFFLER,49.13,49.13
AARTIIND,34.45,35.04
RALLIS,18.45,
AMJLAND,10.41,10.41
PRAKASH,7.08,7.08
MFSL,371.71,371.71
KSB,57.01,53.48
KOPRAN,45.58,45.58
HEG,13.42,13.42
GREAVESCOT,218.93,248.80
GODFRYPHLP,22.48,22.48
VARDMNPOLY,0.90,31.47
SURYAROSNI,15.08,15.08
TATAINVEST,75.75,75.75
GLFL,561.74,561.74
TIMKEN,58.77,58.77
SUDARSCHEM,113.41,75.47
SHREECEM,50.25,50.25
SAKHTISUG,8.32,8.32
IPCALAB,36.36,34.76
INGERRAND,54.62,53.20
JSWDULUX,7.38,40.64
HINDALCO,13.89,11.24
HINDZINC,14.70,14.71
HINDUNILVR,30.48,30.22
GSFC,9.22,9.22
GRASIM,19.85,19.46
AMBUJACEM,18.95,16.34
FINPIPE,15.84,15.84
FINCABLES,27.11,33.51
EIDPARRY,10.64,6.24
DCW,19.47,19.47
DCM,116.66,116.66
CGPOWER,116.19,113.93
SUDARCOLOR,18.39,13.25
CESC,12.02,12.02
BIRLACORPN,11.64,11.51
BHEL,61.48,61.48
BHARATGEAR,10.51,10.51
BEL,48.16,48.16
BAJFINANCE,31.46,31.19
ASHAPURMIN,12.60,12.47
PVP,1417.26,115.47
NAVA,16.27,16.27
CORALFINAC,9.21,9.21
GREENPLY,37.46,32.69
TNPL,4.09,4.09
AUTOAXLES,14.38,13.71
REMSONSIND,19.05,18.39
DALMIASUG,17.18,17.18
NATCOPHARM,12.81,12.81
KHAITANLTD,10.92,10.92
SWARAJENG,21.37,21.11
MRF,22.53,22.10
GARFIBRES,36.46,34.75
ANDHRSUGAR,11.98,11.16
TNPETRO,8.42,8.81
TTKPRESTIG,38.94,36.32
STARPAPER,8.57,8.57
SKFINDIA,36.12,32.53
AUSOMENT,8.40,8.40
EIMCOELECO,33.37,33.37
JAYAGROGN,14.23,14.23
CUBEXTUB,14.66,14.66
MARICO,53.41,53.41
SILINV,9.46,9.46
BIOFILCHEM,123.68,123.68
KEYFINSERV,23.80,23.09
ZENITHEXPO,381.42,381.42
SUNDRMBRAK,79.66,72.93
SANGAMIND,23.86,22.74
MOTHERSON,37.81,36.26
SOMATEX,31.18,75.42
VISAKAIND,9.25,11.70
AARTIDRUGS,20.87,20.70
STERTOOLS,29.99,55.37
CREST,29.00,29.00
INDIANCARD,20.77,17.97
HITECHGEAR,55.25,55.25
WENDT,102.29,102.29
DENORA,34.91,34.91
TVSSRICHAK,43.35,38.99
SHRIRAMFIN,21.58,21.58
PUNJABCHEM,20.47,19.97
DYNAMATECH,184.76,139.47
GUJAPOLLO,78.26,78.26
GANESHHOU,24.31,24.31
MMFL,18.37,27.40
JAGSNPHARM,33.79,32.68
ALKYLAMINE,43.61,43.61
BOSCH-HCIL,983.94,228.97
MPHASIS,22.90,22.59
GUJRAFFIA,18.86,18.86
RUCHINFRA,22.27,22.03
RAMCOIND,8.48,8.82
KOTHARIPET,11.71,11.68
HERITGFOOD,27.46,29.19
INDRAMEDCO,17.55,17.55
BANKBARODA,6.82,5.57
MADRASFERT,14.21,12.93
GAIL,11.62,11.62
INDNIPPON,26.93,29.98
SKMEGGPROD,11.72,11.72
BANKINDIA,5.45,5.45
CONCOR,30.78,30.78
ICICIBANK,17.72,17.72
KCPSUGIND,9.44,9.44
HUDCO,8.19,8.19
INDSWFTLAB,57.27,50.61
SAREGAMA,44.05,42.87
FDC,19.22,18.26
ENGINERSIN,19.50,19.50
