Date,Symbol,Security Name,Client Name,Buy/Sell,Quantity Traded,Trade Price / Wght. Avg. Price
28-AUG-2026,ATHERENERG,Ather Energy Limited,HERO MOTOCORP LIMITED,BUY,11880000,1480.00
28-AUG-2026,GENUSPOWER,Genus Power Infrastru Ltd,AART CORPORATE ADVISORS PRIVATE LIMITED,BUY,1386750,324.50
28-AUG-2026,GENUSPOWER,Genus Power Infrastru Ltd,HSBC MUTUAL FUND,BUY,2191700,324.50
28-AUG-2026,LENSKART,Lenskart Solutions Ltd,COPTHALL MAURITIUS INVESTMENT LIMITED,BUY,401901,630.00
28-AUG-2026,LENSKART,Lenskart Solutions Ltd,GOLDMAN SACHS BANK EUROPE SE,BUY,985791,630.00
28-AUG-2026,LENSKART,Lenskart Solutions Ltd,HDFC STANDARD LIFE INSURANCE COMPANY LTD,BUY,1269838,630.00
28-AUG-2026,LENSKART,Lenskart Solutions Ltd,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,BUY,1428569,630.00
28-AUG-2026,LENSKART,Lenskart Solutions Ltd,ICICI PRUDENTIAL MUTUAL FUND,BUY,6031747,630.00
28-AUG-2026,LENSKART,Lenskart Solutions Ltd,INTEGRATED CORE STRATEGIES (ASIA) PTE.LTD.,BUY,758301,630.00
28-AUG-2026,LENSKART,Lenskart Solutions Ltd,JIGNESH VIJAY SHAH,BUY,396827,630.00
28-AUG-2026,LENSKART,Lenskart Solutions Ltd,MORGAN STANLEY ASIA SINGAPORE PTE,BUY,492896,630.00
28-AUG-2026,LENSKART,Lenskart Solutions Ltd,MORGAN STANLEY ASIA SINGAPORE PTE,BUY,606641,630.00
28-AUG-2026,LENSKART,Lenskart Solutions Ltd,SBI MUTUAL FUND,BUY,555556,630.00
28-AUG-2026,LENSKART,Lenskart Solutions Ltd,SOCIETE GENERALE,BUY,397352,630.00
28-AUG-2026,LENSKART,Lenskart Solutions Ltd,SUSQUEHANNA PACIFIC PTY LTD,BUY,401903,630.00
28-AUG-2026,LENSKART,Lenskart Solutions Ltd,VIRIDIAN ASIA OPPORTUNITIES MASTER FUND,BUY,606639,630.00
28-AUG-2026,LENSKART,Lenskart Solutions Ltd,BOFA SECURITIES EUROPE SA,BUY,606642,630.00
