Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
29 JUL 2026,20MICRONS,EQ,20 MICRONS LTD           ,Listed    ,29 JUL 2026,               5.00,          35286502,            201.15,     7098232742.30 
29 JUL 2026,21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,Listed    ,29 JUL 2026,              10.00,          10500000,             38.90,      408240000.00
29 JUL 2026,360ONE,EQ,360 ONE WAM LIMITED      ,Listed    ,29 JUL 2026,               1.00,         406486596,           1161.30,   472052883934.80    
29 JUL 2026,3BBLACKBIO,EQ,3B BLACKBIO DX LTD.      ,Permitted ,29 JUL 2026,              10.00,           8582670,           1270.90,    10907715303.00
29 JUL 2026,3IINFOLTD,EQ,3I INFOTECH LIMITED      ,Listed    ,29 JUL 2026,              10.00,         207403767,             22.10,     4585697288.35 
29 JUL 2026,3MINDIA,EQ,3M INDIA LIMITED         ,Listed    ,29 JUL 2026,              10.00,          11265070,          35425.00,   399065104750.00   
29 JUL 2026,3PLAND,EQ,3P LAND HOLDINGS LIMITED ,Listed    ,29 JUL 2026,               2.00,          18000000,             32.30,      581040000.00    
29 JUL 2026,5PAISA,EQ,5PAISA CAPITAL LIMITED   ,Listed    ,29 JUL 2026,              10.00,          46882257,            348.40,    16333778338.80    
29 JUL 2026,63MOONS,EQ,63 MOONS TECHNOLOGIES LTD,Listed    ,29 JUL 2026,               2.00,          46078537,            778.45,    35869837127.65   
29 JUL 2026,A2ZINFRA,EQ,A2Z INFRA ENGINEERING LTD,Listed    ,29 JUL 2026,              10.00,         177522358,             13.25,     2353946467.10  
29 JUL 2026,AAATECH,EQ,AAA TECHNOLOGIES LIMITED ,Listed    ,29 JUL 2026,              10.00,          12826800,             89.30,     1145689776.00   
29 JUL 2026,AADHARHFC,EQ,AADHAR HOUSING FINANCE L ,Listed    ,29 JUL 2026,              10.00,         437298899,            494.55,   216266170500.45 
29 JUL 2026,AAKAAR,SM,AAKAAR MEDICAL TECHNO LTD,Listed    ,27 JUL 2026,              10.00,          14172816,             68.00,      963751488.00    
29 JUL 2026,AAKASH,EQ,AAKASH EXPLORATION SER L ,Listed    ,29 JUL 2026,               1.00,         101250000,              8.85,      897075000.00    
29 JUL 2026,AARADHYA,SM,AARADHYA DISPOSAL INDUS L,Listed    ,29 JUL 2026,              10.00,          14138000,             75.00,     1060350000.00  
29 JUL 2026,AAREYDRUGS,BE,AAREY DRUGS & PHARM LTD  ,Listed    ,29 JUL 2026,              10.00,          28354303,             75.60,     2143868849.85
29 JUL 2026,AARNAV,EQ,AARNAV FASHIONS LIMITED  ,Listed    ,29 JUL 2026,              10.00,          42238628,             29.15,     1231256006.20    
29 JUL 2026,AARON,EQ,AARON INDUSTRIES LIMITED ,Listed    ,29 JUL 2026,              10.00,          20946478,            134.80,     2823166304.85     
29 JUL 2026,AARTECH,BE,AARTECH SOLONICS LIMITED ,Listed    ,29 JUL 2026,               5.00,          31770375,             46.10,     1464931991.25   
29 JUL 2026,AARTIDRUGS,EQ,AARTI DRUGS LTD.         ,Listed    ,29 JUL 2026,              10.00,          91270000,            411.25,    37534787500.00
29 JUL 2026,AARTIIND,EQ,AARTI INDUSTRIES LTD     ,Listed    ,29 JUL 2026,               5.00,         362594491,            485.50,   176039625380.50  
29 JUL 2026,AARTIPHARM,EQ,AARTI PHARMALABS LIMITED ,Listed    ,29 JUL 2026,               5.00,          90657751,            682.95,    61914711045.45
29 JUL 2026,AARTISURF,EQ,AARTI SURFACTANTS LIMITED,Listed    ,29 JUL 2026,              10.00,           8464995,            390.50,     3305580547.50 
29 JUL 2026,AARVI,EQ,AARVI ENCON LIMITED      ,Listed    ,29 JUL 2026,              10.00,          14844100,            152.30,     2260904871.00     
29 JUL 2026,AASTHA,EQ,AASTHA SPINTEX LIMITED   ,Listed    ,29 JUL 2026,              10.00,          44142190,             76.10,     3358779237.10    
29 JUL 2026,AATMAJ,SM,AATMAJ HEALTHCARE LIMITED,Listed    ,27 JUL 2026,               5.00,          22600000,             18.50,      418100000.00    
29 JUL 2026,AAVAS,EQ,AAVAS FINANCIERS LIMITED ,Listed    ,29 JUL 2026,              10.00,          79287782,           1387.30,   109995939968.60     
29 JUL 2026,ABAN,BE,ABAN OFFSHORE LTD.       ,Listed    ,29 JUL 2026,               2.00,          58365323,             15.30,      892989441.90      
29 JUL 2026,ABANSENT,BE,ABANS ENTERPRISES LTD.   ,Permitted ,29 JUL 2026,               2.00,          69748880,             26.65,     1859505140.80  
29 JUL 2026,ABB,EQ,ABB INDIA LIMITED        ,Listed    ,29 JUL 2026,               2.00,         211908375,           7310.50,  1549156175437.50       
29 JUL 2026,ABBOTINDIA,EQ,ABBOTT INDIA LIMITED     ,Permitted ,29 JUL 2026,              10.00,          21249302,          27745.00,   589561883990.00
29 JUL 2026,ABCAPITAL,EQ,ADITYA BIRLA CAPITAL LTD.,Listed    ,29 JUL 2026,              10.00,        2621853064,            397.60,  1042448778246.40 
29 JUL 2026,ABCOTS,EQ,A B COTSPIN INDIA LIMITED,Listed    ,29 JUL 2026,              10.00,          21963620,            200.65,     4407000353.00    
29 JUL 2026,ABDL,EQ,ALLIED BLEND N DISTILS L ,Listed    ,29 JUL 2026,               2.00,         279710151,            644.80,   180357105364.80      
29 JUL 2026,ABFRL,EQ,ADITYA BIRLA FASHION & RT,Listed    ,29 JUL 2026,              10.00,        1220510115,             58.05,    70862817276.90     
29 JUL 2026,ABHAPOWER,SM,ABHA POWER N STEEL LTD   ,Listed    ,29 JUL 2026,              10.00,          18587830,             24.30,      451684269.00 
29 JUL 2026,ABINFRA,EQ,A B INFRABUILD LIMITED   ,Listed    ,29 JUL 2026,               1.00,         638789360,             10.05,     6426220961.60   
