,03-Aug-2026
The Nifty witnessed an intraday movement of about 259.15 points.The closing index was 1.6 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 123775.40
, Traded Quantity (in Lakhs), 46091.17
, Number of Trades, 38485563
, Total Market Capitalisation (Rs. Crores), 49214468.62

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     24383.60,     24572.70,     24774.30,     24515.15,     24774.30,390.70
,NIFTY50 EQL Wgt,     33391.95,     33651.55,     33970.65,     33593.60,     33970.65,578.70
,NIFTY100 EQL Wgt,     35174.50,     35394.25,     35684.80,     35366.55,     35684.80,510.30
,NIFTY100 LowVol30,     20570.85,     20694.35,     20894.80,     20644.95,     20894.80,323.95
,NIFTY Alpha 50,     54236.25,     54493.50,     54745.95,     54323.40,     54710.15,473.90
,NIFTY MIDCAP 150,     23138.45,     23257.20,     23420.15,     23214.00,     23418.95,280.50
,NIFTY SMLCAP 50,      9644.45,      9697.00,      9777.80,      9676.65,      9757.55,113.10
,NIFTY SMLCAP 250,     17919.90,     18015.45,     18194.80,     17986.10,     18166.65,246.75
,NIFTY MIDSML 400,     21234.20,     21344.65,     21506.35,     21308.35,     21503.50,269.30
,NIFTY200 QUALTY30,     20613.65,     20695.35,     20960.20,     20660.60,     20960.20,346.55
,Nifty FinSrv25 50,     29055.85,     29252.80,     29452.10,     29166.35,     29452.10,396.25
,NIFTY AlphaLowVol,     27460.60,     27621.25,     27808.70,     27482.35,     27808.70,348.10
,Nifty200Momentm30,     30600.95,     30805.85,     30852.65,     30622.20,     30836.80,235.85
,Nifty100ESGSecLdr,      4113.75,      4145.70,      4172.10,      4134.20,      4172.10,58.35
,NIFTY100 ESG,      5090.50,      5130.25,      5173.70,      5120.30,      5173.65,83.15
,NIFTY M150 QLTY50,     24475.65,     24558.85,     24712.55,     24484.55,     24709.05,233.40
,NIFTY INDIA MFG,     16328.90,     16458.40,     16522.05,     16383.15,     16521.40,192.50
,Nifty200 Alpha 30,     26220.65,     26342.00,     26491.10,     26269.80,     26460.80,240.15
,NiftyM150Momntm50,     62913.45,     63244.15,     63464.10,     63016.85,     63415.85,502.40
,Nifty50 USD,      8854.90,      8854.90,      9006.95,      8749.95,      9006.95,152.05
,Nifty IT,     30708.90,     30950.95,     31715.25,     30796.55,     31715.25,1006.35
,Nifty Next 50,     73651.30,     74109.30,     74611.80,     74055.80,     74608.70,957.40
,Nifty Bank,     57264.85,     57569.60,     58247.95,     57465.95,     58247.95,983.10
,NIFTY MIDCAP 100,     62915.30,     63235.60,     63681.80,     63107.55,     63679.30,764.00
,Nifty 500,     23460.70,     23619.15,     23803.75,     23578.55,     23802.85,342.15
,Nifty 100,     25486.35,     25676.75,     25880.65,     25627.20,     25880.45,394.10
,Nifty Midcap 50,     18105.85,     18188.75,     18301.85,     18140.60,     18301.85,196.00
,Nifty Realty,       901.45,       906.85,       913.05,       900.40,       913.05,11.60
,Nifty Infra,      9409.25,      9477.30,      9507.80,      9438.70,      9507.80,98.55
,Nifty Energy,     38729.55,     38831.60,     38940.60,     38752.50,     38937.00,207.45
,Nifty FMCG,     49121.20,     49351.90,     50036.65,     49298.60,     49965.60,844.40
,Nifty MNC,     33056.15,     33170.60,     33518.60,     33150.60,     33516.15,460.00
,Nifty Pharma,     26534.80,     26764.60,     26801.20,     26380.85,     26662.80,128.00
,Nifty PSE,      9941.90,      9981.10,     10007.50,      9930.10,     10005.40,63.50
,Nifty PSU Bank,      8367.20,      8418.75,      8534.95,      8415.30,      8486.70,119.50
,Nifty Serv Sector,     31268.65,     31518.95,     31774.35,     31427.80,     31774.35,505.70
,Nifty Auto,     28744.15,     29058.85,     29169.20,     28813.75,     29168.95,424.80
,Nifty Metal,     12719.00,     12859.40,     12917.60,     12806.90,     12914.55,195.55
,Nifty Media,      1618.65,      1587.35,      1600.50,      1559.20,      1568.65,-50.00
,NIFTY SMLCAP 100,     19339.65,     19446.30,     19610.85,     19407.70,     19589.35,249.70
,Nifty 200,     14106.30,     14204.95,     14315.15,     14178.55,     14315.00,208.70
,Nifty Div Opps 50,      5939.10,      5982.55,      6055.55,      5979.95,      6055.55,116.45
,Nifty Commodities,      9861.75,      9926.35,     10003.65,      9918.05,     10003.35,141.60
,Nifty Consumption,     12081.85,     12167.55,     12258.70,     12131.50,     12258.70,176.85
,Nifty Fin Service,     26594.05,     26807.25,     26984.45,     26717.30,     26984.45,390.40
,Nifty50 Div Point,       163.64,       182.42,       182.42,       182.42,       182.42,18.78
,Nifty100 Liq 15,      7598.70,      7671.70,      7702.80,      7634.95,      7702.80,104.10
,Nifty CPSE,      6530.05,      6539.20,      6573.25,      6522.95,      6573.25,43.20
,Nifty GrowSect 15,     11655.75,     11751.95,     11874.00,     11662.60,     11874.00,218.25
,Nifty50 PR 2x Lev,     12244.60,     12429.60,     12632.05,     12372.15,     12632.05,387.45
,Nifty50 PR 1x Inv,       217.45,       215.85,       216.35,       214.05,       214.05,-3.40
,Nifty50 TR 2x Lev,     18618.50,     18928.50,     19236.30,     18841.15,     19236.30,617.80
,Nifty50 TR 1x Inv,       176.65,       175.20,       175.60,       173.75,       173.75,-2.90
,Nifty50 Value 20,     11980.35,     12062.05,     12202.00,     12036.80,     12202.00,221.65
,Nifty Mid Liq 15,     16889.05,     16962.05,     17033.55,     16886.70,     17015.50,126.45
,Nifty Pvt Bank,     27522.65,     27666.80,     28045.15,     27592.35,     28045.15,522.50
,NIFTY100 Qualty30,      5674.20,      5712.50,      5792.90,      5701.35,      5792.90,118.70
,Nifty GS 8 13Yr,      3047.59,      3048.15,      3048.16,      3045.16,      3047.27,-0.32
,Nifty GS 10Yr,      2669.63,      2670.13,      2670.13,      2664.68,      2667.87,-1.76
,Nifty GS 10Yr Cln,       875.38,       875.38,       875.38,       873.56,       874.63,-0.75
,Nifty GS 4 8Yr,      3334.16,      3334.76,      3337.79,      3333.82,      3337.71,3.55
,Nifty GS 11 15Yr,      3376.73,      3377.37,      3377.37,      3367.07,      3374.22,-2.51
,Nifty GS 15YrPlus,      3550.94,      3551.66,      3551.66,      3546.68,      3548.30,-2.64
,Nifty GS Compsite,      3137.40,      3137.99,      3138.00,      3133.74,      3136.80,-0.60
,NIFTY HEALTHCARE,     16755.50,     16905.80,     16921.05,     16621.95,     16783.35,27.85
,NIFTY CONSR DURBL,     40072.15,     40103.15,     40631.50,     39883.00,     40625.05,552.90
,NIFTY OIL AND GAS,     11247.70,     11312.40,     11358.20,     11265.65,     11357.40,109.70
,NIFTY500 MULTICAP,     16578.60,     16684.00,     16815.55,     16656.85,     16814.15,235.55
,NIFTY LARGEMID250,     16796.85,     16902.70,     17029.00,     16873.50,     17028.50,231.65
,NIFTY MID SELECT,     14784.40,     14851.75,     14908.55,     14812.70,     14898.15,113.75
,NIFTY TOTAL MKT,     13230.25,     13320.70,     13423.40,     13298.85,     13422.50,192.25
,NIFTY MICROCAP250,     25178.75,     25397.65,     25580.70,     25369.85,     25515.50,336.75
,NIFTY IND DIGITAL,      8513.75,      8563.15,      8738.35,      8546.95,      8737.45,223.70
,Nifty Tata 25 Cap,     14631.30,     14733.90,     14995.70,     14711.10,     14994.30,363.00
,Nifty MidSml Hlth,     51754.10,     51974.00,     52105.65,     51543.75,     51810.55,56.45
,Nifty Multi Mfg,     16734.40,     16861.15,     16927.55,     16785.30,     16923.90,189.50
,Nifty Multi Infra,     14642.95,     14737.65,     14816.90,     14709.50,     14813.55,170.60
,BHARATBOND-APR30,      1609.94,      1610.27,      1610.27,      1609.98,      1610.03,0.09
,BHARATBOND-APR31,      1463.10,      1463.38,      1463.38,      1463.38,      1463.38,0.28
,BHARATBOND-APR32,      1332.07,      1332.33,      1332.33,      1332.27,      1332.27,0.20
,BHARATBOND-APR33,      1291.23,      1291.49,      1291.49,      1291.48,      1291.48,0.25
,Nifty Ind Defence,      9331.15,      9387.40,      9438.15,      9380.25,      9438.15,107.00
,Nifty Ind Tourism,      7872.85,      7954.75,      8099.75,      7943.45,      8098.30,225.45
,Nifty Capital Mkt,      5307.15,      5346.40,      5349.20,      5245.75,      5264.85,-42.30
,Nifty500Momentm50,     53337.25,     53665.40,     53823.80,     53454.25,     53755.55,418.30
,NiftyMS400 MQ 100,     50904.50,     51125.20,     51311.35,     50941.35,     51292.50,388.00
,NiftySml250MQ 100,     46941.50,     47202.80,     47712.75,     47085.30,     47628.20,686.70
,Nifty Top 10 EW,      8662.40,      8729.65,      8853.20,      8711.05,      8853.20,190.80
,Nifty AQL 30,     23277.35,     23432.95,     23518.00,     23276.05,     23518.00,240.65
,Nifty AQLV 30,     20544.15,     20652.35,     20756.70,     20535.55,     20756.70,212.55
,Nifty EV,      3258.55,      3282.75,      3298.60,      3271.10,      3298.10,39.55
,Nifty HighBeta 50,      4440.75,      4475.80,      4507.40,      4473.20,      4497.75,57.00
,Nifty New Consump,     12012.85,     12090.90,     12208.10,     12056.70,     12207.55,194.70
,Nifty Corp MAATR,     39356.80,     39701.75,     40000.35,     39602.15,     40000.35,643.55
,Nifty Low Vol 50,     25081.25,     25242.50,     25489.20,     25190.65,     25487.70,406.45
,Nifty Mobility,     23404.85,     23638.65,     23823.25,     23536.10,     23820.80,415.95
