Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
10 JUL 2026,20MICRONS,EQ,20 MICRONS LTD           ,Listed    ,10 JUL 2026,               5.00,          35286502,            198.35,     6998724806.70 
10 JUL 2026,21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,Listed    ,10 JUL 2026,              10.00,          10500000,             31.90,      334845000.00
10 JUL 2026,360ONE,EQ,360 ONE WAM LIMITED      ,Listed    ,10 JUL 2026,               1.00,         406486596,           1129.00,   458923366884.00    
10 JUL 2026,3BBLACKBIO,EQ,3B BLACKBIO DX LTD.      ,Permitted ,10 JUL 2026,              10.00,           8582670,           1148.60,     9858054762.00
10 JUL 2026,3IINFOLTD,EQ,3I INFOTECH LIMITED      ,Listed    ,10 JUL 2026,              10.00,         207403767,             18.75,     3892968706.60 
10 JUL 2026,3MINDIA,EQ,3M INDIA LIMITED         ,Listed    ,10 JUL 2026,              10.00,          11265070,          35370.00,   398445525900.00   
10 JUL 2026,3PLAND,EQ,3P LAND HOLDINGS LIMITED ,Listed    ,10 JUL 2026,               2.00,          18000000,             31.90,      574200000.00    
10 JUL 2026,5PAISA,EQ,5PAISA CAPITAL LIMITED   ,Listed    ,10 JUL 2026,              10.00,          46882257,            365.75,    17147185497.75    
10 JUL 2026,63MOONS,EQ,63 MOONS TECHNOLOGIES LTD,Listed    ,10 JUL 2026,               2.00,          46078537,            678.60,    31268895208.20   
10 JUL 2026,A2ZINFRA,EQ,A2Z INFRA ENGINEERING LTD,Listed    ,10 JUL 2026,              10.00,         177522358,             13.55,     2408978398.05  
10 JUL 2026,AAATECH,EQ,AAA TECHNOLOGIES LIMITED ,Listed    ,10 JUL 2026,              10.00,          12826800,             95.30,     1222265772.00   
10 JUL 2026,AADHARHFC,EQ,AADHAR HOUSING FINANCE L ,Listed    ,10 JUL 2026,              10.00,         437298899,            534.55,   233758126460.45 
10 JUL 2026,AAKAAR,SM,AAKAAR MEDICAL TECHNO LTD,Listed    ,10 JUL 2026,              10.00,          14172816,             64.40,      912729350.40    
10 JUL 2026,AAKASH,EQ,AAKASH EXPLORATION SER L ,Listed    ,10 JUL 2026,               1.00,         101250000,              8.85,      895050000.00    
10 JUL 2026,AARADHYA,SM,AARADHYA DISPOSAL INDUS L,Listed    ,09 JUL 2026,              10.00,          14138000,             78.05,     1103470900.00  
10 JUL 2026,AAREYDRUGS,BE,AAREY DRUGS & PHARM LTD  ,Listed    ,10 JUL 2026,              10.00,          28354303,             82.85,     2348586917.50
10 JUL 2026,AARNAV,EQ,AARNAV FASHIONS LIMITED  ,Listed    ,10 JUL 2026,              10.00,          42238628,             25.15,     1061879107.90    
10 JUL 2026,AARON,EQ,AARON INDUSTRIES LIMITED ,Listed    ,10 JUL 2026,              10.00,          20946478,            118.95,     2491164628.55     
10 JUL 2026,AARTECH,BE,AARTECH SOLONICS LIMITED ,Listed    ,10 JUL 2026,               5.00,          31770375,             49.25,     1565008672.50   
10 JUL 2026,AARTIDRUGS,EQ,AARTI DRUGS LTD.         ,Listed    ,10 JUL 2026,              10.00,          91270000,            396.80,    36215936000.00
10 JUL 2026,AARTIIND,EQ,AARTI INDUSTRIES LTD     ,Listed    ,10 JUL 2026,               5.00,         362594491,            484.10,   175531993093.10  
10 JUL 2026,AARTIPHARM,EQ,AARTI PHARMALABS LIMITED ,Listed    ,10 JUL 2026,               5.00,          90657751,            709.45,    64317141446.95
10 JUL 2026,AARTISURF,EQ,AARTI SURFACTANTS LIMITED,Listed    ,10 JUL 2026,              10.00,           8464995,            387.05,     3276376314.75 
10 JUL 2026,AARVI,EQ,AARVI ENCON LIMITED      ,Listed    ,10 JUL 2026,              10.00,          14844100,            155.25,     2304398084.00     
10 JUL 2026,AASTHA,BE,AASTHA SPINTEX LIMITED   ,Listed    ,10 JUL 2026,              10.00,          44142190,            122.90,     5424192307.20    
10 JUL 2026,AATMAJ,SM,AATMAJ HEALTHCARE LIMITED,Listed    ,10 JUL 2026,               5.00,          22600000,             19.35,      437310000.00    
10 JUL 2026,AAVAS,EQ,AAVAS FINANCIERS LIMITED ,Listed    ,10 JUL 2026,              10.00,          79287782,           1525.90,   120985226553.80     
10 JUL 2026,ABAN,BE,ABAN OFFSHORE LTD.       ,Listed    ,10 JUL 2026,               2.00,          58365323,             13.45,      786180900.80      
10 JUL 2026,ABANSENT,BE,ABANS ENTERPRISES LTD.   ,Permitted ,10 JUL 2026,               2.00,          69748880,             27.15,     1893682092.00  
10 JUL 2026,ABB,EQ,ABB INDIA LIMITED        ,Listed    ,10 JUL 2026,               2.00,         211908375,           6836.00,  1448605651500.00       
