,13-Jul-2026
The Nifty witnessed an intraday movement of about 259.6 points.The closing index was 0.02 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 121684.26
, Traded Quantity (in Lakhs), 46056.55
, Number of Trades, 37482180
, Total Market Capitalisation (Rs. Crores), 48162578.52

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     24206.90,     24039.40,     24259.80,     24000.20,     24211.00,4.10
,NIFTY50 EQL Wgt,     32788.30,     32586.25,     32878.85,     32517.10,     32825.75,37.45
,NIFTY100 EQL Wgt,     34601.40,     34354.15,     34592.15,     34226.50,     34548.55,-52.85
,NIFTY100 LowVol30,     20059.75,     19962.35,     20131.35,     19906.95,     20100.75,41.00
,NIFTY Alpha 50,     54265.10,     53947.05,     54211.80,     53733.75,     54090.85,-174.25
,NIFTY MIDCAP 150,     23166.50,     23039.10,     23189.75,     22962.15,     23167.40,0.90
,NIFTY SMLCAP 50,      9621.15,      9560.75,      9648.45,      9517.25,      9638.20,17.05
,NIFTY SMLCAP 250,     18118.90,     18021.15,     18194.80,     17937.70,     18171.85,52.95
,NIFTY MIDSML 400,     21331.15,     21214.60,     21373.65,     21135.45,     21353.10,21.95
,NIFTY200 QUALTY30,     20027.25,     19940.90,     20171.25,     19855.55,     20133.95,106.70
,Nifty FinSrv25 50,     29279.75,     29027.05,     29310.60,     28960.75,     29263.65,-16.10
,NIFTY AlphaLowVol,     26884.50,     26761.20,     26827.35,     26650.95,     26805.75,-78.75
,Nifty200Momentm30,     30606.65,     30436.15,     30608.30,     30284.70,     30570.25,-36.40
,Nifty100ESGSecLdr,      4077.40,      4048.60,      4083.15,      4039.35,      4072.80,-4.60
,NIFTY100 ESG,      4958.20,      4922.50,      4982.35,      4912.00,      4971.15,12.95
,NIFTY M150 QLTY50,     24138.55,     24034.15,     24180.45,     23940.90,     24154.15,15.60
,NIFTY INDIA MFG,     15939.00,     15839.40,     15920.85,     15764.35,     15900.15,-38.85
,Nifty200 Alpha 30,     26370.00,     26214.80,     26349.85,     26096.15,     26308.05,-61.95
,NiftyM150Momntm50,     62905.75,     62614.60,     62961.00,     62375.20,     62882.50,-23.25
,Nifty50 USD,      8798.95,      8798.90,      8810.50,      8687.60,      8774.40,-24.55
,Nifty IT,     28010.35,     27880.55,     29272.65,     27856.10,     29015.85,1005.50
