,13-Aug-2026
The Nifty witnessed an intraday movement of about 120.2 points.The closing index was 0.16 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 111635.71
, Traded Quantity (in Lakhs), 41657.28
, Number of Trades, 34656553
, Total Market Capitalisation (Rs. Crores), 49198868.93

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     24435.95,     24431.60,     24431.60,     24311.40,     24395.85,-40.10
,NIFTY50 EQL Wgt,     33456.25,     33471.90,     33485.15,     33337.80,     33485.15,28.90
,NIFTY100 EQL Wgt,     35496.45,     35513.60,     35514.50,     35362.55,     35501.80,5.35
,NIFTY100 LowVol30,     20576.95,     20565.35,     20565.35,     20476.15,     20560.65,-16.30
,NIFTY Alpha 50,     57025.30,     57064.15,     57072.80,     56460.75,     56612.75,-412.55
,NIFTY MIDCAP 150,     23521.50,     23525.55,     23540.25,     23458.15,     23539.35,17.85
,NIFTY SMLCAP 50,      9914.30,      9927.05,      9956.55,      9913.50,      9943.20,28.90
,NIFTY SMLCAP 250,     18335.65,     18369.00,     18409.80,     18343.00,     18365.90,30.25
,NIFTY MIDSML 400,     21633.75,     21649.65,     21666.30,     21603.80,     21656.75,23.00
,NIFTY200 QUALTY30,     20879.15,     20873.15,     20950.90,     20808.75,     20950.90,71.75
,Nifty FinSrv25 50,     28825.60,     28839.60,     28839.60,     28660.00,     28699.70,-125.90
,NIFTY AlphaLowVol,     27567.35,     27560.35,     27562.75,     27385.45,     27452.80,-114.55
,Nifty200Momentm30,     31425.70,     31447.70,     31454.50,     31132.10,     31272.85,-152.85
,Nifty100ESGSecLdr,      4111.50,      4112.15,      4112.15,      4085.65,      4095.55,-15.95
,NIFTY100 ESG,      5108.05,      5111.30,      5111.30,      5085.30,      5099.65,-8.40
,NIFTY M150 QLTY50,     24908.00,     24921.55,     24921.55,     24811.00,     24892.95,-15.05
,NIFTY INDIA MFG,     16630.45,     16640.25,     16649.65,     16571.50,     16620.60,-9.85
,Nifty200 Alpha 30,     27115.50,     27109.60,     27116.20,     26848.55,     26922.75,-192.75
,NiftyM150Momntm50,     64809.15,     64770.60,     64770.85,     64327.05,     64521.60,-287.55
,Nifty50 USD,      8881.50,      8881.50,      9018.15,      8833.60,      8856.75,-24.75
,Nifty IT,     31332.55,     31277.00,     31459.30,     31098.60,     31453.90,121.35
,Nifty Next 50,     74748.10,     74824.20,     74851.00,     74375.05,     74726.65,-21.45
,Nifty Bank,     57885.85,     57799.15,     57799.15,     57548.60,     57635.25,-250.60
,NIFTY MIDCAP 100,     64024.40,     64013.25,     64125.35,     63812.55,     64121.55,97.15
,Nifty 500,     23672.45,     23678.70,     23678.70,     23585.60,     23658.10,-14.35
,Nifty 100,     25601.20,     25602.35,     25602.35,     25478.10,     25565.65,-35.55
,Nifty Midcap 50,     18355.95,     18347.90,     18396.35,     18288.70,     18396.35,40.40
,Nifty Realty,       889.80,       889.10,       899.00,       881.85,       898.40,8.60
,Nifty Infra,      9409.80,      9420.20,      9421.15,      9345.30,      9393.15,-16.65
,Nifty Energy,     38776.90,     38778.10,     38780.70,     38501.60,     38690.25,-86.65
,Nifty FMCG,     48429.35,     48400.45,     48838.90,     48302.30,     48837.30,407.95
