,23-Jul-2026
The Nifty witnessed an intraday movement of about 183.55 points.The closing index was 0.53 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 111749.62
, Traded Quantity (in Lakhs), 42307.80
, Number of Trades, 35892377
, Total Market Capitalisation (Rs. Crores), 47572808.85

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     23996.25,     23904.80,     23990.75,     23807.20,     23869.60,-126.65
,NIFTY50 EQL Wgt,     32776.10,     32652.75,     32808.10,     32550.30,     32637.25,-138.85
,NIFTY100 EQL Wgt,     34528.20,     34404.20,     34618.30,     34254.00,     34343.00,-185.20
,NIFTY100 LowVol30,     20144.65,     20035.55,     20138.90,     20018.60,     20088.85,-55.80
,NIFTY Alpha 50,     53981.80,     53943.50,     54047.10,     53278.20,     53347.25,-634.55
,NIFTY MIDCAP 150,     22925.55,     22865.10,     22916.40,     22660.15,     22705.25,-220.30
,NIFTY SMLCAP 50,      9483.75,      9474.30,      9479.75,      9377.65,      9384.40,-99.35
,NIFTY SMLCAP 250,     17863.75,     17836.90,     17843.25,     17634.00,     17651.25,-212.50
,NIFTY MIDSML 400,     21082.60,     21035.15,     21068.20,     20848.70,     20863.55,-219.05
,NIFTY200 QUALTY30,     20192.55,     20179.35,     20246.25,     20070.95,     20131.25,-61.30
,Nifty FinSrv25 50,     28583.70,     28462.60,     28592.10,     28324.20,     28407.65,-176.05
,NIFTY AlphaLowVol,     27130.80,     27052.00,     27147.55,     26939.65,     27027.30,-103.50
,Nifty200Momentm30,     30565.95,     30489.25,     30626.60,     30161.25,     30230.25,-335.70
,Nifty100ESGSecLdr,      4048.85,      4034.90,      4048.10,      4008.50,      4018.85,-30.00
,NIFTY100 ESG,      4964.30,      4951.00,      4975.30,      4927.55,      4940.55,-23.75
,NIFTY M150 QLTY50,     23977.70,     23966.70,     24017.05,     23760.00,     23794.70,-183.00
,NIFTY INDIA MFG,     15992.95,     15915.40,     16050.40,     15884.70,     15922.80,-70.15
,Nifty200 Alpha 30,     25995.05,     25960.60,     26069.60,     25658.10,     25717.75,-277.30
,NiftyM150Momntm50,     62238.50,     62084.90,     62277.30,     61402.40,     61586.90,-651.60
,Nifty50 USD,      8609.70,      8609.70,      8722.10,      8543.25,      8565.15,-44.55
,Nifty IT,     28549.85,     28502.90,     28688.95,     28277.75,     28533.55,-16.30
,Nifty Next 50,     72296.65,     72040.90,     72606.60,     71634.60,     71840.45,-456.20
,Nifty Bank,     57126.80,     56796.95,     56930.15,     56374.75,     56592.00,-534.80
,NIFTY MIDCAP 100,     62300.60,     62134.30,     62285.40,     61549.95,     61685.00,-615.60
,Nifty 500,     23145.05,     23069.10,     23148.90,     22937.75,     22982.40,-162.65
,Nifty 100,     25069.65,     24975.35,     25083.80,     24867.10,     24932.50,-137.15
,Nifty Midcap 50,     17884.15,     17823.60,     17862.95,     17647.70,     17690.50,-193.65
,Nifty Realty,       903.00,       899.95,       906.40,       884.05,       886.70,-16.30
,Nifty Infra,      9369.95,      9330.85,      9356.30,      9255.65,      9279.75,-90.20
,Nifty Energy,     39435.65,     39337.75,     39414.45,     38967.80,     39045.25,-390.40
,Nifty FMCG,     49233.80,     49216.15,     49478.70,     48871.70,     49033.20,-200.60
,Nifty MNC,     32694.35,     32686.80,     32794.30,     32377.90,     32444.30,-250.05
,Nifty Pharma,     25752.25,     25514.20,     25760.50,     25458.90,     25653.55,-98.70
,Nifty PSE,     10021.45,      9974.10,     10012.30,      9937.95,      9978.45,-43.00
,Nifty PSU Bank,      8381.80,      8359.05,      8381.55,      8267.60,      8297.65,-84.15
,Nifty Serv Sector,     30793.60,     30673.95,     30759.90,     30514.30,     30595.35,-198.25
,Nifty Auto,     27329.65,     27262.45,     27760.65,     27230.45,     27520.80,191.15
,Nifty Metal,     12562.85,     12537.40,     12626.40,     12423.95,     12469.70,-93.15
,Nifty Media,      1496.20,      1494.85,      1516.95,      1493.25,      1499.50,3.30
,NIFTY SMLCAP 100,     19129.25,     19100.50,     19138.00,     18919.05,     18936.35,-192.90
,Nifty 200,     13894.15,     13844.95,     13899.65,     13772.10,     13805.85,-88.30
,Nifty Div Opps 50,      5825.25,      5807.75,      5833.00,      5791.85,      5807.10,-18.15
,Nifty Commodities,      9899.95,      9856.30,      9895.20,      9769.05,      9794.95,-105.00
,Nifty Consumption,     11793.25,     11782.60,     11873.00,     11756.85,     11787.70,-5.55
,Nifty Fin Service,     26188.85,     26071.05,     26194.30,     25920.55,     25992.05,-196.80
,Nifty50 Div Point,       141.10,       141.10,       141.10,       141.10,       141.10,0.00
,Nifty100 Liq 15,      7452.55,      7440.60,      7463.40,      7362.20,      7378.75,-73.80
,Nifty CPSE,      6686.70,      6673.85,      6694.85,      6652.10,      6680.75,-5.95
,Nifty GrowSect 15,     11118.05,     11081.10,     11150.80,     11053.55,     11118.35,0.30
,Nifty50 PR 2x Lev,     11877.05,     11784.80,     11869.80,     11688.30,     11749.95,-127.10
,Nifty50 PR 1x Inv,       220.70,       221.60,       222.50,       220.80,       221.90,1.20
,Nifty50 TR 2x Lev,     18025.60,     17885.60,     18014.60,     17739.15,     17832.65,-192.95
,Nifty50 TR 1x Inv,       179.50,       180.20,       180.90,       179.55,       180.45,0.95
,Nifty50 Value 20,     11854.30,     11813.20,     11839.35,     11762.00,     11793.25,-61.05
,Nifty Mid Liq 15,     16559.90,     16486.35,     16530.60,     16320.55,     16360.00,-199.90
,Nifty Pvt Bank,     27493.45,     27321.60,     27431.20,     27196.35,     27281.30,-212.15
,NIFTY100 Qualty30,      5557.80,      5538.65,      5570.75,      5524.45,      5540.65,-17.15
,Nifty GS 8 13Yr,      3044.96,      3045.51,      3046.72,      3043.50,      3044.11,-0.85
,Nifty GS 10Yr,      2669.03,      2669.53,      2669.53,      2665.91,      2665.91,-3.12
,Nifty GS 10Yr Cln,       876.86,       876.86,       876.86,       875.65,       875.65,-1.21
,Nifty GS 4 8Yr,      3327.56,      3328.15,      3328.16,      3326.26,      3326.69,-0.87
,Nifty GS 11 15Yr,      3370.98,      3371.63,      3371.63,      3367.87,      3367.87,-3.11
,Nifty GS 15YrPlus,      3552.39,      3553.12,      3554.14,      3543.46,      3543.81,-8.58
,Nifty GS Compsite,      3134.43,      3135.01,      3135.32,      3131.86,      3131.90,-2.53
,NIFTY HEALTHCARE,     16350.95,     16216.80,     16359.25,     16194.75,     16295.65,-55.30
,NIFTY CONSR DURBL,     39188.70,     39087.75,     39266.70,     38912.30,     39004.30,-184.40
,NIFTY OIL AND GAS,     11243.15,     11177.50,     11232.70,     11106.55,     11128.50,-114.65
,NIFTY500 MULTICAP,     16391.25,     16343.45,     16389.15,     16237.60,     16258.40,-132.85
,NIFTY LARGEMID250,     16582.05,     16529.00,     16583.25,     16421.50,     16457.00,-125.05
,NIFTY MID SELECT,     14626.35,     14564.85,     14592.15,     14394.55,     14428.35,-198.00
,NIFTY TOTAL MKT,     13055.70,     13014.40,     13059.65,     12941.00,     12964.10,-91.60
,NIFTY MICROCAP250,     24992.10,     24977.85,     25080.30,     24802.05,     24822.50,-169.60
,NIFTY IND DIGITAL,      8118.95,      8126.65,      8139.40,      8065.65,      8080.25,-38.70
,Nifty Tata 25 Cap,     14098.80,     14063.40,     14146.25,     14029.00,     14110.05,11.25
,Nifty MidSml Hlth,     50704.80,     50615.40,     50767.75,     50188.00,     50360.95,-343.85
