SYMBOL,SYMBOL P/E,ADJUSTED P/E
THERMAX,74.63,79.40
WHEELS,23.56,23.56
RIIL,106.54,106.54
PREMIERPOL,23.77,23.77
RAYMOND,68.61,14.87
RSWM,19.51,16.92
SHREDIGCEM,62.55,62.55
SESHAPAPER,17.49,17.49
SMLMAH,35.57,35.57
SUNDRMFAST,33.34,32.80
EXIDEIND,43.81,43.47
ELECON,40.08,38.09
CRISIL,35.95,35.95
LMW,96.34,91.99
NELCO,567.60,208.07
MASTEK,12.55,12.07
MAHSCOOTER,46.63,46.63
LUMAXIND,40.58,36.84
TRENT,89.75,88.74
KECL,59.78,38.45
CUMMINSIND,74.09,72.01
KCP,7.60,7.35
JAYBARMARU,12.74,12.32
INFY,13.93,13.53
INDIAGLYCO,31.50,31.41
IONEXCHANG,44.06,40.57
IFBIND,36.45,34.02
IGPL,626.57,626.57
HIMATSEIDE,16.27,16.27
GNFC,9.27,9.27
BPCL,8.22,9.13
BHARATFORG,93.61,85.73
BASF,38.44,38.44
FORCEMOT,18.95,21.66
ATUL,23.40,23.44
ARVIND,32.89,32.02
ACC,13.24,13.30
TMPV,,28.24
SCI,9.67,9.67
MRPL,9.59,10.93
LINDEINDIA,116.33,116.33
HINDPETRO,2133.98,2133.98
ESCORTS,23.79,24.16
BAJAJHLDNG,54.44,146.10
ASHOKLEY,24.18,22.57
VOLTAS,87.74,84.42
TITAN,81.86,80.66
TATASTEEL,21.68,20.35
SUNDARMFIN,24.64,23.95
SPIC,7.47,7.47
VEDL,6.53,5.94
SBIN,11.00,11.30
RELIANCE,19.67,19.67
PFIZER,29.28,27.97
NOCIL,48.07,45.27
BOSCHLTD,44.46,53.01
DRREDDY,30.33,30.33
BATAINDIA,66.08,95.16
DEEPAKFERT,26.88,26.88
CHAMBLFERT,9.46,9.46
CARBORUNIV,148.45,49.28
MAHSEAMLES,10.77,10.70
HINDOILEXP,34.17,70.34
DICIND,24.97,22.62
COROMANDEL,32.86,32.11
BALMLAWRIE,14.75,14.75
MOTOGENFIN,0.72,
MARALOVER,71.27,60.22
ASIANPAINT,59.83,58.28
RAMCOCEM,31.24,121.78
INDIACEM,136.37,87.86
PGHL,34.09,34.09
BEML,100.94,100.94
ADOR,22.90,22.52
CENTENKA,12.34,12.16
TATACHEM,,214.52
TORNTPHARM,88.27,85.80
VTL,25.30,25.30
SUNDROP,128.66,128.66
FEDERALBNK,18.10,18.10
EPL,18.93,17.86
VLSFINANCE,36.57,36.57
SUPREMEIND,51.52,51.52
SRF,36.54,35.50
BIRLACABLE,35.02,35.02
BALRAMCHIN,37.69,37.69
AEGISLOG,42.81,42.81
WEIZMANIND,17.16,17.16
UNICHEMLAB,14.96,75.63
BBOX,63.55,50.15
HONAUT,62.89,61.92
JTEKTINDIA,47.48,44.81
SAURASHCEM,42.96,27.26
RANEHOLDIN,15.97,18.16
PRECOT,27.57,27.57
TATAELXSI,33.67,31.27
SUNPHARMA,40.27,37.10
KOHINOOR,1.05,
SHREYANIND,29.64,29.64
SANDESH,11.25,10.97
HCC,35.09,40.73
BAJAJHIND,32.73,29.49
APOLLOHOSP,64.67,64.18
ARE&M,17.84,22.69
ADANIENT,42.25,161.93
IVP,8.35,8.21
BALKRISIND,31.31,31.31
INDBANK,20.32,20.32
GINNIFILA,9.84,8.90
EICHERMOT,44.39,43.99
GVT&D,86.32,83.27
NEULANDLAB,65.37,65.37
ONGC,6.69,6.65
ITI,90.49,
ZENSARTECH,14.86,14.50
TAINWALCHM,17.53,17.53
BERGEPAINT,53.91,52.04
BANARISUG,29.69,29.69
KPIL,21.54,21.98
JYOTISTRUC,23.37,23.37
IGARASHI,118.19,118.19
BSL,54.03,54.03
BLUEDART,47.11,40.96
JAYNECOIND,14.94,14.68
MUNJALSHOW,24.84,23.10
APCOTEXIND,28.68,28.81
SOTL,24.35,24.35
HSCL,49.54,49.54
RCF,15.94,17.34
RANASUG,7.60,
KARURVYSYA,11.94,11.94
DECCANCE,27.14,50.45
WSI,213.02,247.49
UFLEX,10.53,10.25
TATAPOWER,27.13,26.87
ADVANIHOTR,19.80,19.24
THOMASCOOK,21.27,20.79
SUNFLAG,31.31,30.28
SUBROS,30.80,29.81
SPMLINFRA,22.30,22.30
SIMPLEXINF,50.32,51.26
SIEMENS,103.96,103.96
BHARATRAS,14.67,13.35
WIPRO,13.22,13.22
VSTIND,13.37,13.37
JUBLPHARMA,38.65,34.82
UNIVCABLES,48.86,48.86
TATACOMM,55.86,50.57
TOKYOPLAST,120.80,120.80
SOMANYCERA,27.50,26.56
MURUDCERA,16.34,16.34
IFCI,43.46,42.00
HLVLTD,223.77,91.08
SANOFI,25.19,23.74
M&M,23.60,23.30
LIBERTSHOE,39.33,39.81
KAJARIACER,39.57,37.28
HEIDELBERG,26.46,25.46
MODTHREAD,13.60,13.60
MANGLMCEM,20.98,19.24
PRSMJOHNSN,90.21,
POLYPLEX,86.59,86.59
PIDILITIND,64.65,64.38
PCBL,63.16,68.00
3PLAND,25.03,25.03
OSWALAGRO,58.27,35.03
EIHAHOTELS,21.73,21.05
HONDAPOWER,32.99,29.64
JINDALSAW,27.35,27.35
SAIL,17.12,15.09
RUBYMILLS,31.27,31.27
STYRENIX,23.15,22.99
ABB,101.67,101.67
IDBI,9.80,9.80
GRAPHITE,76.86,76.05
CANFINHOME,9.59,9.59
BRITANNIA,50.48,50.48
BBL,23.71,23.71
ELECTCAST,27.60,23.68
DHAMPURSUG,13.99,13.99
DCMSHRIRAM,18.32,17.90
DABUR,40.14,39.88
COSMOFIRST,14.83,14.32
CIPLA,33.87,31.73
HEROMOTOCO,18.60,18.28
HDFCBANK,14.12,13.93
HARRMALAYA,13.74,13.74
GMBREW,12.25,12.25
GIPCL,6.06,6.06
ITC,17.21,17.00
INDIANHUME,14.45,22.19
HINDCOMPOS,24.73,23.37
IOC,4.80,4.80
OSWALGREEN,,14.73
HUHTAMAKI,17.64,17.64
RICOAUTO,35.89,31.83
KAMATHOTEL,12.93,17.69
IFBAGRO,16.50,16.50
BANCOINDIA,18.07,18.56
MANINDS,23.20,23.20
APOLLOTYRE,19.43,18.60
SIYSIL,11.98,11.98
SHANTIGEAR,42.03,40.20
PRECWIRE,43.86,43.86
ONWARDTEC,15.12,14.36
NILKAMAL,23.58,21.66
NCC,12.03,11.60
ICIL,63.69,63.69
SEAMECLTD,14.00,14.00
ELGIEQUIP,43.20,42.14
