index_name,mp_index_name,symbol,as_of_date
NIFTY IPO,Nifty IPO,AASTHA,2026-09-14
NIFTY IPO,Nifty IPO,CPPLUS,2026-09-14
NIFTY IPO,Nifty IPO,ADVANCE,2026-09-14
NIFTY IPO,Nifty IPO,RAMBHAJO,2026-09-14
NIFTY IPO,Nifty IPO,AEQUS,2026-09-14
NIFTY IPO,Nifty IPO,ALLTIME,2026-09-14
NIFTY IPO,Nifty IPO,ALPINETEX,2026-09-14
NIFTY IPO,Nifty IPO,AMAGI,2026-09-14
NIFTY IPO,Nifty IPO,AEROPLANE,2026-09-14
NIFTY IPO,Nifty IPO,ARSSBL,2026-09-14
NIFTY IPO,Nifty IPO,AHCL,2026-09-14
NIFTY IPO,Nifty IPO,ANNU,2026-09-14
NIFTY IPO,Nifty IPO,ANTHEM,2026-09-14
NIFTY IPO,Nifty IPO,ARDEE,2026-09-14
NIFTY IPO,Nifty IPO,ATLANTAELE,2026-09-14
NIFTY IPO,Nifty IPO,AUGMONT,2026-09-14
NIFTY IPO,Nifty IPO,AYE,2026-09-14
NIFTY IPO,Nifty IPO,BMWVENTLTD,2026-09-14
NIFTY IPO,Nifty IPO,BLEL,2026-09-14
NIFTY IPO,Nifty IPO,BHARATCOAL,2026-09-14
NIFTY IPO,Nifty IPO,GROWW,2026-09-14
NIFTY IPO,Nifty IPO,BLUESTONE,2026-09-14
NIFTY IPO,Nifty IPO,BRIGHOTEL,2026-09-14
NIFTY IPO,Nifty IPO,CMRGREEN,2026-09-14
NIFTY IPO,Nifty IPO,CORONA,2026-09-14
NIFTY IPO,Nifty IPO,CSM,2026-09-14
NIFTY IPO,Nifty IPO,CMLL,2026-09-14
NIFTY IPO,Nifty IPO,CANHLIFE,2026-09-14
NIFTY IPO,Nifty IPO,CRAMC,2026-09-14
NIFTY IPO,Nifty IPO,CAPILLARY,2026-09-14
NIFTY IPO,Nifty IPO,CMPDI,2026-09-14
NIFTY IPO,Nifty IPO,CLEANMAX,2026-09-14
NIFTY IPO,Nifty IPO,CRIZAC,2026-09-14
NIFTY IPO,Nifty IPO,DHOOTTRANS,2026-09-14
NIFTY IPO,Nifty IPO,EPACKPEB,2026-09-14
NIFTY IPO,Nifty IPO,ESDS,2026-09-14
NIFTY IPO,Nifty IPO,EMMVEE,2026-09-14
NIFTY IPO,Nifty IPO,EUROPRATIK,2026-09-14
NIFTY IPO,Nifty IPO,EXCELSOFT,2026-09-14
NIFTY IPO,Nifty IPO,FABTECH,2026-09-14
NIFTY IPO,Nifty IPO,FRACTAL,2026-09-14
NIFTY IPO,Nifty IPO,UTLSOLAR,2026-09-14
NIFTY IPO,Nifty IPO,GKENERGY,2026-09-14
NIFTY IPO,Nifty IPO,EBGNG,2026-09-14
NIFTY IPO,Nifty IPO,GSPCROP,2026-09-14
NIFTY IPO,Nifty IPO,GAJA,2026-09-14
NIFTY IPO,Nifty IPO,GANESHCP,2026-09-14
NIFTY IPO,Nifty IPO,GAUDIUMIVF,2026-09-14
NIFTY IPO,Nifty IPO,GEMAROMA,2026-09-14
NIFTY IPO,Nifty IPO,GLOTTIS,2026-09-14
NIFTY IPO,Nifty IPO,GKSL,2026-09-14
NIFTY IPO,Nifty IPO,HDBFS,2026-09-14
NIFTY IPO,Nifty IPO,HEXAGON,2026-09-14
NIFTY IPO,Nifty IPO,HILINFRA,2026-09-14
NIFTY IPO,Nifty IPO,HORIZONIND,2026-09-14
NIFTY IPO,Nifty IPO,HTEL,2026-09-14
NIFTY IPO,Nifty IPO,ICICIAMC,2026-09-14
NIFTY IPO,Nifty IPO,INDOMIM,2026-09-14
NIFTY IPO,Nifty IPO,INDIQUBE,2026-09-14
NIFTY IPO,Nifty IPO,IGCL,2026-09-14
NIFTY IPO,Nifty IPO,INNOVISION,2026-09-14
NIFTY IPO,Nifty IPO,IVALUE,2026-09-14
