,0,,,
20MICRONS,Commodities,Metals & Mining,Minerals & Mining,Industrial Minerals
21STCENMGM,Financial Services,Financial Services,Capital Markets,Other Capital Market related Services
360ONE,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
3IINFOLTD,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
3MINDIA,Diversified,Diversified,Diversified,Diversified
3PLAND,Financial Services,Financial Services,Finance,Investment Company
5PAISA,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
63MOONS,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
A2ZINFRA,Industrials,Construction,Construction,Civil Construction
AAATECH,Services,Services,Commercial Services & Supplies,Consulting Services
AADHARHFC,Financial Services,Financial Services,Finance,Housing Finance Company
AAKASH,Energy,"Oil, Gas & Consumable Fuels",Oil,Offshore Support Solution Drilling
AAREYDRUGS,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
AARTECH,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
AARTIDRUGS,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
AARTIIND,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
AARTIPHARM,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
AARTISURF,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
AARVEEDEN,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
AARVI,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
AAVAS,Financial Services,Financial Services,Finance,Housing Finance Company
ABAN,Energy,"Oil, Gas & Consumable Fuels",Oil,Offshore Support Solution Drilling
ABB,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
ABBOTINDIA,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
ABCAPITAL,Financial Services,Financial Services,Finance,Investment Company
ABDL,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries
ABFRL,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail
ABINFRA,Industrials,Construction,Construction,Civil Construction
ABMINTLLTD,Services,Services,Commercial Services & Supplies,Trading & Distributors
ABREL,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
ABSLAMC,Financial Services,Financial Services,Capital Markets,Asset Management Company
ACC,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
ACCELYA,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
ACCURACY,Services,Services,Transport Services,Logistics Solution Provider
ACE,Industrials,Capital Goods,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles
ACEINTEG,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
ACI,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
ACL,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
ACLGATI,Services,Services,Transport Services,Logistics Solution Provider
ACMESOLAR,Utilities,Power,Power,Power Generation
ADANIENSOL,Utilities,Power,Power,Power Distribution
ADANIENT,Commodities,Metals & Mining,Metals & Minerals Trading,Trading - Minerals
ADANIGREEN,Utilities,Power,Power,Power Generation
ADANIPORTS,Services,Services,Transport Infrastructure,Port & Port services
ADANIPOWER,Utilities,Power,Power,Integrated Power Utilities
ADFFOODS,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods
ADL,Consumer Discretionary,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates
ADORWELD,Invalid Symbol,,,
ADROITINFO,Information Technology,Information Technology,IT - Services,IT Enabled Services
ADSL,Information Technology,Information Technology,IT - Services,IT Enabled Services
ADVANIHOTR,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
ADVENZYMES,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Biotechnology
AEGISLOG,Energy,"Oil, Gas & Consumable Fuels",Gas,Trading - Gas
AEROFLEX,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
AETHER,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
AFCONS,Industrials,Construction,Construction,Civil Construction
AFFLE,Information Technology,Information Technology,IT - Services,IT Enabled Services
AFFORDABLE,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
AFIL,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
AFSL,Financial Services,Financial Services,Finance,Holding Company
AGARIND,Commodities,Chemicals,Chemicals & Petrochemicals,Petrochemicals
AGARWALEYE,Healthcare,Healthcare,Healthcare Services,Hospital
AGI,Industrials,Capital Goods,Industrial Products,Packaging
AGIIL,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
AGRITECH,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
AGROPHOS,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers
AGSTRA,Financial Services,Financial Services,Financial Technology (Fintech),Financial Technology (Fintech)
AHLEAST,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
AHLUCONT,Industrials,Construction,Construction,Civil Construction
AIAENG,Industrials,Capital Goods,Industrial Products,Castings & Forgings
AIIL,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
